"","Cluster","expr","CellType","Condition","Status","Species","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"12","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0099111","microtubule-based transport","16/358","190/18723",8.07302249989768e-07,0.000450013339922868,0.000399644963453581,"ARL3/DAW1/DNAAF1/DNAH5/DPCD/DYNC2H1/HSPB11/IFT52/IFT74/RHOT2/SLC9A3R1/SPAG17/TTC21A/TTC26/WDR19/WDR35",16
"13","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0035082","axoneme assembly","10/358","82/18723",3.63184122413604e-06,0.00166715896242758,0.00148055984901443,"CFAP100/CFAP69/DAW1/DNAAF1/DNAH5/DNAL1/GAS8/SPAG17/TOGARAM1/TTC26",10
"14","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0061512","protein localization to cilium","9/358","65/18723",3.84531795536858e-06,0.00166715896242758,0.00148055984901443,"ARL3/ARL6/DYNC2H1/DZIP1/GAS8/TTC21A/TTC26/WDR19/WDR35",9
"15","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0007389","pattern specification process","23/358","436/18723",1.23450990217101e-05,0.00481705763827129,0.00427790168204944,"AHI1/ARL6/BTG2/CITED2/CXXC4/DAW1/DDIT3/DNAAF1/DNAH5/DPCD/DYNC2H1/EGR2/FGFR2/GPC3/HHIP/HIPK1/HSPB11/IFT52/IFT74/STC1/TP63/WDR19/WLS",23
"16","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0016055","Wnt signaling pathway","23/358","444/18723",1.64981138570063e-05,0.0057608658149421,0.00511607280012663,"AMER2/AMOTL1/ARL6/CXXC4/DDIT3/FAM53B/FGFR2/GPC3/GPRC5B/GRK5/NDRG2/NR4A2/PKD1/PTPRU/RACK1/RPS12/RUVBL1/SEMA5A/SLC9A3R1/SOX2/TNFAIP3/TNIK/WLS",23
"17","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0198738","cell-cell signaling by wnt","23/358","446/18723",1.77166555046912e-05,0.0057608658149421,0.00511607280012663,"AMER2/AMOTL1/ARL6/CXXC4/DDIT3/FAM53B/FGFR2/GPC3/GPRC5B/GRK5/NDRG2/NR4A2/PKD1/PTPRU/RACK1/RPS12/RUVBL1/SEMA5A/SLC9A3R1/SOX2/TNFAIP3/TNIK/WLS",23
"18","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0052547","regulation of peptidase activity","23/358","461/18723",2.97777966858755e-05,0.00893792020525277,0.00793753090606494,"AGER/BCL10/BIRC3/CD109/CD44/CLDN4/COL7A1/CSTB/EPHA4/GPC3/IFI6/LYN/MDM2/PMAIP1/PRDX5/RACK1/SERPINB5/SOX2/SPINK1/SPINK8/TNFAIP8/TP63/WDR35",23
"19","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0003341","cilium movement","13/358","175/18723",3.33062229753562e-05,0.00928292014641714,0.0082439162432235,"CFAP100/CFAP20/CFAP69/DAW1/DEFB1/DNAAF1/DNAH5/DPCD/GAS8/SLC9A3R1/SPAG17/TAC4/TTC21A",13
"20","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0048732","gland development","22/358","436/18723",3.74528922533427e-05,0.00958461241765439,0.00851184118236754,"ARG1/CITED2/CLDN1/DBP/DNAAF1/FGFR2/IRS2/LBH/LMO4/MSN/NRG1/PITX1/PKD1/SERPINB5/SLC9A3R1/SOX2/STRA6/TGFB2/TNFAIP3/TP63/WDR35/WLS",22
"21","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0060972","left/right pattern formation","5/358","21/18723",3.93013323122681e-05,0.00958461241765439,0.00851184118236754,"AHI1/CITED2/DNAAF1/DPCD/HSPB11",5
"22","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","6/358","35/18723",4.76068582791437e-05,0.0103751616472314,0.00921390707671795,"DAW1/DNAAF1/DNAH5/DPCD/SLC9A3R1/SPAG17",6
"23","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0050678","regulation of epithelial cell proliferation","20/358","381/18723",4.88745925048778e-05,0.0103751616472314,0.00921390707671795,"ARG1/CAV2/CD109/CLDN1/EGR3/ERRFI1/FGFR2/GPC3/HMGN1/IFT52/IFT74/MTSS1/NUPR1/SEMA5A/SERPINB5/SOX2/TGFB2/TNFAIP3/TP63/ZFP36",20
"24","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0009855","determination of bilateral symmetry","11/358","133/18723",5.05197517420289e-05,0.0103751616472314,0.00921390707671795,"AHI1/ARL6/CITED2/DAW1/DDIT3/DNAAF1/DNAH5/DPCD/DYNC2H1/IFT52/IFT74",11
"25","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0009799","specification of symmetry","11/358","134/18723",5.41127188126425e-05,0.0105573914403466,0.00937574054374838,"AHI1/ARL6/CITED2/DAW1/DDIT3/DNAAF1/DNAH5/DPCD/DYNC2H1/IFT52/IFT74",11
"26","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:1904667","negative regulation of ubiquitin protein ligase activity","4/358","12/18723",5.7626081682694e-05,0.0107074747964701,0.00950902560899391,"FBXO5/RPL23/RPL37/RPS20",4
"27","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0001578","microtubule bundle formation","10/358","113/18723",6.24563782728152e-05,0.0110774903645693,0.0098376266638329,"CFAP100/CFAP69/DAW1/DNAAF1/DNAH5/DNAL1/GAS8/SPAG17/TOGARAM1/TTC26",10
"28","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0072331","signal transduction by p53 class mediator","12/358","163/18723",7.26382430264491e-05,0.0120419744687858,0.0106941595271636,"CD44/HIPK1/KMT5A/MDM2/NDRG1/NUPR1/PMAIP1/RPL23/RPL26/RPL37/RPS20/TP63",12
"29","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0003002","regionalization","18/358","331/18723",7.41689062687256e-05,0.0120419744687858,0.0106941595271636,"AHI1/BTG2/CITED2/CXXC4/DDIT3/DNAAF1/DPCD/DYNC2H1/EGR2/FGFR2/GPC3/HHIP/HIPK1/HSPB11/IFT52/TP63/WDR19/WLS",18
"30","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0006858","extracellular transport","6/358","38/18723",7.71525786057521e-05,0.0120419744687858,0.0106941595271636,"DAW1/DNAAF1/DNAH5/DPCD/SLC9A3R1/SPAG17",6
"31","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0035721","intraciliary retrograde transport","4/358","13/18723",8.19844503707082e-05,0.0123039740517886,0.0109268344380717,"DYNC2H1/TTC21A/WDR19/WDR35",4
"32","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0052548","regulation of endopeptidase activity","21/358","432/18723",9.52584848613657e-05,0.0130159005175306,0.0115590775320917,"AGER/BCL10/BIRC3/CD109/CD44/COL7A1/CSTB/EPHA4/IFI6/LYN/MDM2/PMAIP1/PRDX5/RACK1/SERPINB5/SOX2/SPINK1/SPINK8/TNFAIP8/TP63/WDR35",21
"33","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:1901798","positive regulation of signal transduction by p53 class mediator","5/358","25/18723",9.63589031083589e-05,0.0130159005175306,0.0115590775320917,"PMAIP1/RPL23/RPL26/RPL37/RPS20",5
"34","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0001655","urogenital system development","18/358","338/18723",9.67352934414117e-05,0.0130159005175306,0.0115590775320917,"AHI1/ARL3/DYNC2H1/ENPEP/EPHA4/FGFR2/GCNT1/GPC3/HSPB11/LIF/MTSS1/NPNT/PKD1/SDC4/SERPINB5/STRA6/TGFB2/TP63",18
"35","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0050673","epithelial cell proliferation","21/358","437/18723",0.000111865274668354,0.0142298639131641,0.0126371663660029,"ARG1/CAV2/CD109/CLDN1/EGR3/EHF/ERRFI1/FGFR2/GPC3/HMGN1/IFT52/IFT74/MTSS1/NUPR1/SEMA5A/SERPINB5/SOX2/TGFB2/TNFAIP3/TP63/ZFP36",21
"36","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0072176","nephric duct development","4/358","14/18723",0.000113051199720166,0.0142298639131641,0.0126371663660029,"AHI1/EPHA4/GPC3/PKD1",4
"37","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0007368","determination of left/right symmetry","10/358","124/18723",0.000136397917167797,0.0166320210246483,0.0147704586617233,"AHI1/ARL6/CITED2/DAW1/DNAAF1/DNAH5/DPCD/DYNC2H1/IFT52/IFT74",10
"38","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0030324","lung development","12/358","177/18723",0.000159129044197998,0.0188158039533512,0.0167098186124341,"ADAMTSL2/ARG1/DNAAF1/ERRFI1/FGFR2/GPC3/HHIP/HSPB11/LIF/PKD1/STK40/STRA6",12
"39","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0043588","skin development","15/358","263/18723",0.000174628788768488,0.019462768301467,0.0172843705652781,"AQP3/CD109/CLDN1/CLDN4/COL5A2/ERRFI1/EXPH5/FGFR2/IFT74/PKD1/TGFB2/TP63/TXNIP/UGCG/ZFP36",15
"40","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0001822","kidney development","16/358","293/18723",0.000176273896022135,0.019462768301467,0.0172843705652781,"AHI1/ARL3/DYNC2H1/ENPEP/EPHA4/FGFR2/GCNT1/GPC3/HSPB11/LIF/MTSS1/NPNT/PKD1/SDC4/STRA6/TGFB2",16
"41","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0008544","epidermis development","17/358","324/18723",0.000179564238557871,0.019462768301467,0.0172843705652781,"AQP3/CD109/COL7A1/EMP1/ERRFI1/EXPH5/FGFR2/IFT74/KRT5/MYCL/SLC4A7/SLC9A3R1/TGFB2/TP63/TXNIP/UGCG/ZFP36",17
"42","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0030323","respiratory tube development","12/358","181/18723",0.000196080321881674,0.0206785247562781,0.0183640517676947,"ADAMTSL2/ARG1/DNAAF1/ERRFI1/FGFR2/GPC3/HHIP/HSPB11/LIF/PKD1/STK40/STRA6",12
"43","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:1901653","cellular response to peptide","18/358","359/18723",0.000204714618390952,0.0210209589726709,0.0186681585524381,"AGER/ARG1/CAV2/EPHA4/ERRFI1/FOXO1/GDF15/IRS2/KLF3/LCN2/LYN/MDM2/MYO1C/NR4A2/RPL23/SESN3/SLC39A14/SORBS1",18
"44","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0009798","axis specification","8/358","86/18723",0.000239542695022922,0.0239665537430626,0.0212840634821986,"AHI1/CITED2/CXXC4/DDIT3/GPC3/HSPB11/STC1/WLS",8
"45","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0072001","renal system development","16/358","302/18723",0.00024812911302647,0.0242049949757322,0.0214958168442932,"AHI1/ARL3/DYNC2H1/ENPEP/EPHA4/FGFR2/GCNT1/GPC3/HSPB11/LIF/MTSS1/NPNT/PKD1/SDC4/STRA6/TGFB2",16
"46","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0055123","digestive system development","10/358","137/18723",0.000308071276842365,0.0271964828458292,0.0241524782239795,"AHI1/DAB1/DNAAF1/FGFR2/PKD1/STRA6/TGFB2/TP63/WDR19/WLS",10
"47","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:2001242","regulation of intrinsic apoptotic signaling pathway","11/358","164/18723",0.000325270394925633,0.0271964828458292,0.0241524782239795,"CD44/DDIT3/IVNS1ABP/MDM2/NUPR1/PMAIP1/RACK1/RPL26/RTKN2/SLC9A3R1/TPT1",11
"48","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0001539","cilium or flagellum-dependent cell motility","10/358","138/18723",0.000326610705323983,0.0271964828458292,0.0241524782239795,"CFAP20/CFAP69/DEFB1/DNAH2/DNAH5/DPCD/EFHC2/GAS8/TAC4/TTC21A",10
"49","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0035107","appendage morphogenesis","10/358","138/18723",0.000326610705323983,0.0271964828458292,0.0241524782239795,"B9D1/DYNC2H1/FGFR2/GPC3/IFT52/PITX1/TGFB2/TMEM231/TP63/WDR19",10
"50","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0035108","limb morphogenesis","10/358","138/18723",0.000326610705323983,0.0271964828458292,0.0241524782239795,"B9D1/DYNC2H1/FGFR2/GPC3/IFT52/PITX1/TGFB2/TMEM231/TP63/WDR19",10
"51","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0060285","cilium-dependent cell motility","10/358","138/18723",0.000326610705323983,0.0271964828458292,0.0241524782239795,"CFAP20/CFAP69/DEFB1/DNAH2/DNAH5/DPCD/EFHC2/GAS8/TAC4/TTC21A",10
"52","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0030901","midbrain development","8/358","90/18723",0.000327584493529978,0.0271964828458292,0.0241524782239795,"ACTB/CKB/DYNLL1/FGFR2/HSPA5/NDRG2/NR4A2/WLS",8
"53","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0071560","cellular response to transforming growth factor beta stimulus","14/358","250/18723",0.000343611280300029,0.0279327336610565,0.0248063231304319,"ADAMTSL2/ARG1/CAV2/CD109/CITED2/CLDN1/FGFR2/GDF15/HSPA5/ITGB8/NPNT/PPARGC1A/TGFB2/VASN",14
"54","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0030326","embryonic limb morphogenesis","9/358","116/18723",0.000390787411348542,0.0301563645892638,0.0267810710372161,"B9D1/DYNC2H1/GPC3/IFT52/PITX1/TGFB2/TMEM231/TP63/WDR19",9
"55","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0035113","embryonic appendage morphogenesis","9/358","116/18723",0.000390787411348542,0.0301563645892638,0.0267810710372161,"B9D1/DYNC2H1/GPC3/IFT52/PITX1/TGFB2/TMEM231/TP63/WDR19",9
"56","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0000028","ribosomal small subunit assembly","4/358","19/18723",0.000405849545023925,0.0301563645892638,0.0267810710372161,"RPL38/RPS14/RPS27/RPS28",4
"57","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0051444","negative regulation of ubiquitin-protein transferase activity","4/358","19/18723",0.000405849545023925,0.0301563645892638,0.0267810710372161,"FBXO5/RPL23/RPL37/RPS20",4
"58","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:1901796","regulation of signal transduction by p53 class mediator","8/358","93/18723",0.00040960720738877,0.0301563645892638,0.0267810710372161,"CD44/KMT5A/MDM2/PMAIP1/RPL23/RPL26/RPL37/RPS20",8
"59","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0071559","response to transforming growth factor beta","14/358","256/18723",0.000436088167202134,0.0310920028996156,0.0276119867127612,"ADAMTSL2/ARG1/CAV2/CD109/CITED2/CLDN1/FGFR2/GDF15/HSPA5/ITGB8/NPNT/PPARGC1A/TGFB2/VASN",14
"60","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0043516","regulation of DNA damage response, signal transduction by p53 class mediator","5/358","34/18723",0.000438252219241122,0.0310920028996156,0.0276119867127612,"CD44/KMT5A/MDM2/PMAIP1/RPL26",5
"61","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0001890","placenta development","10/358","144/18723",0.000458489188757859,0.0319468716880923,0.028371173108851,"CITED2/FGFR2/HSD17B2/ITGB8/JUNB/LIF/PKD1/SOX15/STC1/STOX2",10
"62","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0001893","maternal placenta development","5/358","35/18723",0.000503359779401452,0.0344580677056924,0.0306012999776469,"CITED2/JUNB/LIF/STC1/STOX2",5
"63","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0009913","epidermal cell differentiation","12/358","202/18723",0.000533216379997285,0.0358725916336104,0.0318575013239757,"AQP3/CD109/ERRFI1/EXPH5/IFT74/MYCL/SLC4A7/SLC9A3R1/TP63/TXNIP/UGCG/ZFP36",12
"64","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0060562","epithelial tube morphogenesis","16/358","325/18723",0.000556785441971764,0.0362361418531765,0.0321803606735161,"AHI1/BCL10/CITED2/DNAAF1/EPHA4/FGFR2/GPC3/HHIP/IFT52/LCN2/LMO4/MTSS1/NPNT/PKD1/SDC4/TGFB2",16
"65","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0060541","respiratory system development","12/358","203/18723",0.000557193365246178,0.0362361418531765,0.0321803606735161,"ADAMTSL2/ARG1/DNAAF1/ERRFI1/FGFR2/GPC3/HHIP/HSPB11/LIF/PKD1/STK40/STRA6",12
"66","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0003352","regulation of cilium movement","5/358","36/18723",0.000575479803021728,0.0368118392031276,0.032691622287274,"CFAP20/CFAP69/DEFB1/DNAAF1/TAC4",5
"67","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0030111","regulation of Wnt signaling pathway","16/358","328/18723",0.000614725295936718,0.0384811533125194,0.0341740960653953,"AMER2/CXXC4/DDIT3/FAM53B/FGFR2/GPC3/GPRC5B/PTPRU/RACK1/RPS12/RUVBL1/SEMA5A/SLC9A3R1/SOX2/TNFAIP3/WLS",16
"68","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","7/358","76/18723",0.000621300015040677,0.0384811533125194,0.0341740960653953,"CD44/HIPK1/MDM2/NUPR1/PMAIP1/RPL26/TP63",7
"69","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0045616","regulation of keratinocyte differentiation","5/358","37/18723",0.000655082177784179,0.038729252389604,0.0343944263040752,"AQP3/CD109/ERRFI1/TP63/ZFP36",5
"70","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0060428","lung epithelium development","5/358","37/18723",0.000655082177784179,0.038729252389604,0.0343944263040752,"ADAMTSL2/ERRFI1/FGFR2/PKD1/STRA6",5
"71","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0070286","axonemal dynein complex assembly","5/358","37/18723",0.000655082177784179,0.038729252389604,0.0343944263040752,"CFAP100/DAW1/DNAAF1/DNAH5/DNAL1",5
"72","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0071385","cellular response to glucocorticoid stimulus","6/358","56/18723",0.000679837272744456,0.0395929110186398,0.0351614187254477,"ARG1/ERRFI1/FBXO32/FOXO1/STC1/ZFP36",6
"73","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","12/358","209/18723",0.00072090334982563,0.0402405003062583,0.0357365256705609,"BCL10/BIRC3/CD44/IFI6/MDM2/PMAIP1/PRDX5/RACK1/SOX2/TNFAIP8/TP63/WDR35",12
"74","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0034755","iron ion transmembrane transport","4/358","22/18723",0.000732031634326738,0.0402405003062583,0.0357365256705609,"LCN2/SLC11A2/SLC25A37/SLC39A14",4
"75","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0036158","outer dynein arm assembly","4/358","22/18723",0.000732031634326738,0.0402405003062583,0.0357365256705609,"DAW1/DNAAF1/DNAH5/DNAL1",4
"76","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0001701","in utero embryonic development","17/358","367/18723",0.000749518051043891,0.0402405003062583,0.0357365256705609,"B9D1/CCNB1IP1/CITED2/FGFR2/HSD17B2/JUNB/LIF/MYH9/N4BP2L2/PKD1/PSPH/RPL13/RRM2/SOX15/TMEM231/TTLL4/WDR19",17
"77","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0072178","nephric duct morphogenesis","3/358","10/18723",0.000752833552628615,0.0402405003062583,0.0357365256705609,"AHI1/EPHA4/GPC3",3
"78","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:1902959","regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process","3/358","10/18723",0.000752833552628615,0.0402405003062583,0.0357365256705609,"AGER/EPHA4/LYN",3
"79","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0030856","regulation of epithelial cell differentiation","10/358","154/18723",0.000775090752638836,0.0408703259026586,0.0362958571505981,"AHI1/AQP3/CD109/ERRFI1/KIAA1109/LIF/MYCL/TP63/VCL/ZFP36",10
"80","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0010970","transport along microtubule","10/358","155/18723",0.000814791068744837,0.0415084313656094,0.0368625417614681,"ARL3/DYNC2H1/HSPB11/IFT52/IFT74/RHOT2/TTC21A/TTC26/WDR19/WDR35",10
"81","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0045604","regulation of epidermal cell differentiation","6/358","58/18723",0.000820826434215277,0.0415084313656094,0.0368625417614681,"AQP3/CD109/ERRFI1/MYCL/TP63/ZFP36",6
"82","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","6/358","58/18723",0.000820826434215277,0.0415084313656094,0.0368625417614681,"DDIT3/NUPR1/PMAIP1/RACK1/RPL26/SLC9A3R1",6
