"","ID","Description","Count","GeneRatio","geneID"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",124,"124/326","NME9/AK9/ADGB/AK7/FOXJ1/STK33/SPATA18/ROPN1L/NAAA/PIH1D2/CFAP44/MAPK15/FANK1/UBXN11/CDKL1/BASP1/NEK5/CD74/MLF1/IFT57/PPIL6/RFX2/CKB/MAP1A/UBE2QL1/RFX3/PLAT/CDC14A/CST6/DUSP18/JUN/MAP2K6/CETN2/EGR1/FAM161A/DYNC2H1/CAPN10/CALM1/SLC44A4/SLC9A3R1/EPAS1/ZNF875/SULT1E1/RCAN1/ULK4/RUVBL2/SORL1/ATF3/FOS/ZDHHC1/PFN2/TULP3/ADGRF1/ENDOD1/SDC4/CCN1/HPSE/AUTS2/CFAP20/CALM2/PIM2/IFT74/GRN/TRIB1/KITLG/ST3GAL6/DYNLL1/MYCBP/ZFP36L1/APOBEC1/ERRFI1/SLC26A2/HOPX/OAZ2/RAP2B/NUDT4/F3/HES4/GCNT1/EGR3/BCL10/CC2D1B/FOSL2/KMT5A/BTG2/NME7/PRKAB2/MYC/ADGRV1/PTPRS/HSPB1/CPNE3/FA2H/RPL28/PDP1/RPS9/CCN2/CTH/CD44/PTPRZ1/RPS14/TGM2/TFCP2L1/CRY2/FOXQ1/PRR5L/RPL29/SFN/RPL26/PTGS2/GPRC5A/TP63/RPS16/NR4A1/RPL7A/DUSP6/RPS15A/RPL10A/CRLF1/TIMP3/IL1R2/SCGB1A1/IL33/CHI3L1"
"GO:0009056","GO:0009056","catabolic process",26,"26/326","SPATA18/NAAA/MAPK15/UBXN11/MGLL/MAP1A/IFT88/CALM1/SULT1E1/SORL1/HPSE/PIM2/ATP6V1E1/TRIB1/ZFP36L1/APOBEC1/OAZ2/NUDT4/ITGB4/BTG2/HSPB1/CD44/PRR5L/TIMP3/SCGB1A1/CHI3L1"
"GO:0009058","GO:0009058","biosynthetic process",79,"79/326","NME9/AK9/AK7/FOXJ1/OSBPL6/MAPK15/FANK1/EFR3B/BASP1/CD74/MGLL/MLF1/RFX2/CKB/RFX3/TTC7B/JUN/MAP2K6/EGR1/SLC44A4/EPAS1/ZNF875/RUVBL2/ATF3/FOS/ZDHHC1/TULP3/ADGRF1/CCN1/AUTS2/PIM2/IFT74/TRIB1/ST3GAL6/DYNLL1/MYCBP/ZFP36L1/ERRFI1/SLC26A2/HOPX/OAZ2/HES4/GCNT1/EGR3/BCL10/CC2D1B/FOSL2/KMT5A/BTG2/NME7/ADM/PRKAB2/HSD17B2/HSPH1/MYC/RBP1/HSPB1/FA2H/RPL28/RPS9/CCN2/CTH/RPS14/TFCP2L1/CRY2/FOXQ1/RPL29/RPL26/PTGS2/PTGES/TP63/RPS16/NR4A1/RPL7A/RPS15A/RPL10A/PTMS/SCGB1A1/IL33"
"GO:0009892","GO:0009892","negative regulation of metabolic process",47,"47/326","FOXJ1/BASP1/MAP1A/RFX3/PLAT/CST6/JUN/MAP2K6/EGR1/CALM1/ZNF875/RUVBL2/SORL1/ATF3/CALM2/GRN/TRIB1/DYNLL1/ZFP36L1/APOBEC1/ERRFI1/HOPX/CC2D1B/KMT5A/BTG2/ZNFX1/MYC/RBMS3/PTPRS/HSPB1/CCN2/CD44/RPS14/TFCP2L1/CRY2/FOXQ1/PRR5L/SFN/PTGS2/GPRC5A/TP63/NR4A1/DUSP6/TIMP3/IL1R2/SCGB1A1/IL33"
"GO:0009893","GO:0009893","positive regulation of metabolic process",58,"58/326","FOXJ1/MAPK15/FANK1/NEK5/CD74/IFT57/RFX3/JUN/MAP2K6/EGR1/FAM161A/CALM1/EPAS1/RUVBL2/SORL1/ATF3/FOS/PFN2/SDC4/CCN1/HPSE/AUTS2/CALM2/PIM2/IFT74/GRN/TRIB1/KITLG/MYCBP/ZFP36L1/IL1R1/APOBEC1/OAZ2/RAP2B/F3/EGR3/BCL10/FOSL2/BTG2/ADM/PRKAB2/HSPH1/MYC/RBMS3/HSPB1/RPS9/CCN2/CD44/TFCP2L1/PRR5L/RPL26/PTGS2/GPRC5A/TP63/NR4A1/CRLF1/IL33/CHI3L1"
"GO:0019222","GO:0019222","regulation of metabolic process",89,"89/326","FOXJ1/ROPN1L/MAPK15/FANK1/BASP1/NEK5/CD74/MLF1/IFT57/RFX2/MAP1A/RFX3/PLAT/CST6/JUN/MAP2K6/EGR1/FAM161A/CALM1/SLC9A3R1/EPAS1/ZNF875/RCAN1/RUVBL2/SORL1/ATF3/FOS/PFN2/TULP3/ADGRF1/SDC4/CCN1/HPSE/AUTS2/CALM2/PIM2/IFT74/ATP6V1E1/GRN/TRIB1/KITLG/DYNLL1/MYCBP/ZFP36L1/IL1R1/APOBEC1/ERRFI1/HOPX/NPC2/OAZ2/RAP2B/F3/HES4/EGR3/BCL10/CC2D1B/FOSL2/KMT5A/BTG2/ADM/PRKAB2/ZNFX1/HSPH1/MYC/RBMS3/PTPRS/HSPB1/RPS9/CCN2/CTH/CD44/RPS14/TFCP2L1/CRY2/FOXQ1/PRR5L/SFN/RPL26/PTGS2/GPRC5A/TP63/NR4A1/DUSP6/CRLF1/TIMP3/IL1R2/SCGB1A1/IL33/CHI3L1"
"GO:0019674","GO:0019674","NAD metabolic process",1,"1/326","MDH1"
"GO:0032259","GO:0032259","methylation",6,"6/326","FOS/AUTS2/NSUN7/KMT5A/BTG2/MYC"
"GO:0032963","GO:0032963","collagen metabolic process",2,"2/326","ERRFI1/CCN2"
"GO:0042445","GO:0042445","hormone metabolic process",5,"5/326","EGR1/SULT1E1/ADM/HSD17B2/RBP1"
"GO:0044237","GO:0044237","cellular metabolic process",135,"135/326","NME9/ALPL/AK9/AK7/FOXJ1/STK33/SPATA18/OSBPL6/ROPN1L/NAAA/PIH1D2/MAPK15/SOAT2/FANK1/EFR3B/UBXN11/CDKL1/BASP1/NEK5/CD74/MGLL/MLF1/IFT57/PPIL6/RFX2/CKB/MAP1A/UBE2QL1/RFX3/PLAT/CDC14A/CST6/DUSP18/TTC7B/JUN/MAP2K6/CETN2/IFT88/EGR1/FAM161A/CALM1/SLC44A4/SLC9A3R1/EPAS1/ZNF875/SULT1E1/RCAN1/ULK4/RUVBL2/SORL1/ATF3/FOS/ZDHHC1/PFN2/TULP3/ADGRF1/ENDOD1/SDC4/CCN1/HPSE/AUTS2/CFAP20/CALM2/PIM2/IFT74/ATP6V1E1/GRN/TRIB1/KITLG/ST3GAL6/DYNLL1/MYCBP/ZFP36L1/APOBEC1/ERRFI1/SLC26A2/HOPX/NPC2/OAZ2/RAP2B/NUDT4/F3/ITGB4/HES4/GCNT1/EGR3/BCL10/CC2D1B/FOSL2/KMT5A/BTG2/NME7/ADM/PRKAB2/HSD17B2/MDH1/MYC/RBP1/PTPRS/HSPB1/CPNE3/FA2H/RPL28/PDP1/RPS9/CCN2/CTH/CD44/PTPRZ1/RPS14/TGM2/TFCP2L1/CRY2/FOXQ1/PRR5L/RPL29/SFN/RPL26/PTGS2/GPRC5A/PTGES/TP63/RPS16/NR4A1/RPL7A/DUSP6/RPS15A/RPL10A/PTMS/CRLF1/TIMP3/IL1R2/SCGB1A1/IL33/CHI3L1"
"GO:0044238","GO:0044238","primary metabolic process",134,"134/326","NME9/AK9/ADGB/AK7/FOXJ1/STK33/SPATA18/OSBPL6/ROPN1L/NAAA/PIH1D2/CFAP44/MAPK15/SOAT2/FANK1/EFR3B/UBXN11/CDKL1/BASP1/NEK5/CD74/MGLL/MLF1/IFT57/PPIL6/RFX2/MAP1A/UBE2QL1/RFX3/PLAT/CDC14A/CST6/DUSP18/TTC7B/JUN/MAP2K6/CETN2/EGR1/FAM161A/DYNC2H1/CAPN10/CALM1/SLC44A4/SLC9A3R1/EPAS1/ZNF875/SULT1E1/RCAN1/ULK4/RUVBL2/SORL1/ATF3/FOS/ZDHHC1/PFN2/TULP3/ADGRF1/ENDOD1/SDC4/CCN1/HPSE/AUTS2/CFAP20/CALM2/PIM2/IFT74/GRN/TRIB1/KITLG/ST3GAL6/MYCBP/ZFP36L1/APOBEC1/ERRFI1/SLC26A2/HOPX/NPC2/OAZ2/RAP2B/NUDT4/F3/HES4/GCNT1/EGR3/BCL10/CC2D1B/FOSL2/KMT5A/BTG2/NME7/ADM/PRKAB2/HSD17B2/MDH1/MYC/ADGRV1/RBP1/PTPRS/HSPB1/CPNE3/FA2H/RPL28/PDP1/RPS9/CCN2/CTH/CD44/PTPRZ1/RPS14/TGM2/TFCP2L1/CRY2/FOXQ1/PRR5L/RPL29/SFN/RPL26/PTGS2/GPRC5A/PTGES/TP63/RPS16/NR4A1/RPL7A/DUSP6/RPS15A/RPL10A/CRLF1/TIMP3/IL1R2/SCGB1A1/ANGPTL4/IL33/CHI3L1"
"GO:0044281","GO:0044281","small molecule metabolic process",24,"24/326","NME9/AK9/AK7/OSBPL6/NAAA/SOAT2/CD74/MGLL/EGR1/SULT1E1/ATF3/APOBEC1/SLC26A2/NPC2/NUDT4/NME7/ADM/PRKAB2/MDH1/RBP1/FA2H/CTH/PTGS2/PTGES"
"GO:0045730","GO:0045730","respiratory burst",1,"1/326","GRN"
"GO:0046034","GO:0046034","ATP metabolic process",1,"1/326","AK9"
"GO:0070085","GO:0070085","glycosylation",2,"2/326","ST3GAL6/GCNT1"
"GO:0070988","GO:0070988","demethylation",1,"1/326","APOBEC1"
"GO:0071704","GO:0071704","organic substance metabolic process",140,"140/326","NME9/AK9/ADGB/AK7/FOXJ1/STK33/SPATA18/OSBPL6/ROPN1L/NAAA/PIH1D2/CFAP44/MAPK15/SOAT2/FANK1/EFR3B/UBXN11/CDKL1/BASP1/NEK5/CD74/MGLL/MLF1/IFT57/PPIL6/RFX2/CKB/MAP1A/UBE2QL1/RFX3/PLAT/CDC14A/CST6/DUSP18/TTC7B/JUN/MAP2K6/CETN2/EGR1/FAM161A/DYNC2H1/CAPN10/CALM1/SLC44A4/SLC9A3R1/EPAS1/ZNF875/SULT1E1/RCAN1/ULK4/RUVBL2/SORL1/ATF3/FOS/ZDHHC1/PFN2/TULP3/ADGRF1/ENDOD1/SDC4/CCN1/HPSE/AUTS2/CFAP20/CALM2/PIM2/IFT74/GRN/TRIB1/KITLG/ST3GAL6/MYCBP/ZFP36L1/IL1R1/APOBEC1/ERRFI1/SLC26A2/HOPX/NPC2/OAZ2/RAP2B/NUDT4/F3/HES4/GCNT1/EGR3/BCL10/CC2D1B/FOSL2/KMT5A/BTG2/NME7/ADM/PRKAB2/HSD17B2/ZNFX1/HSPH1/MDH1/MYC/ADGRV1/RBMS3/RBP1/PTPRS/HSPB1/CPNE3/FA2H/RPL28/PDP1/RPS9/CCN2/CTH/CD44/PTPRZ1/RPS14/TGM2/TFCP2L1/CRY2/FOXQ1/PRR5L/RPL29/SFN/RPL26/PTGS2/GPRC5A/PTGES/TP63/RPS16/NR4A1/RPL7A/DUSP6/RPS15A/RPL10A/PTMS/CRLF1/TIMP3/IL1R2/SCGB1A1/ANGPTL4/IL33/CHI3L1"
"GO:1990845","GO:1990845","adaptive thermogenesis",4,"4/326","MAP2K6/EPAS1/SORL1/PRKAB2"
"GO:0001775","GO:0001775","cell activation",19,"19/326","FOXJ1/CD74/PLAT/EGR1/VCL/SDC4/GRN/ZFP36L1/RAP2B/EGR3/BCL10/HSPH1/HSPB1/CCN2/CD44/IGFBP2/NDRG1/SCGB1A1/IL33"
"GO:0001906","GO:0001906","cell killing",1,"1/326","TUBB4B"
"GO:0006457","GO:0006457","protein folding",9,"9/326","DNAJB13/CD74/ZMYND10/PPIL6/RUVBL2/HSPA4L/GRN/HSPH1/HSPB1"
"GO:0006903","GO:0006903","vesicle targeting",1,"1/326","MAPK15"
"GO:0006928","GO:0006928","movement of cell or subcellular component",91,"91/326","KIF19/TEKT1/CFAP46/FOXJ1/DNAH2/DNAI2/CCDC39/SPAG17/SPEF1/CFAP54/ENKUR/DNAH11/CFAP65/SPEF2/DNAH5/ROPN1L/LCA5L/CFAP53/CFAP45/DNAAF1/CFAP44/MAPK15/DRC7/DIXDC1/DYNLRB2/SPA17/DRC1/DNAH9/DAW1/CFAP69/DNAH6/IQCG/CCDC40/HYDIN/CD74/ZMYND10/CFAP43/IFT57/EFHC1/DNAH7/DNAH12/MNS1/DNAH10/MAP1A/TTC21A/RFX3/PLAT/CCDC103/KIF9/IFT81/CFAP91/IFT88/DYNC2H1/SLC9A3R1/ULK4/IFT46/SORL1/CFAP298/PFN2/TTC26/GAS8/VCL/SDC4/CCN1/AUTS2/CFAP20/IFT74/GRN/PCM1/DPCD/TRIB1/KITLG/IL1R1/S100A2/RAP2B/DEFB1/F3/ITGB4/SEMA5A/WDPCP/GCNT1/EGR3/HSPB1/CPNE3/CCN2/CD44/NECTIN1/PRR5L/PTGS2/TPM1/NR4A1"
"GO:0007017","GO:0007017","microtubule-based process",83,"83/326","CEP126/STMND1/KIF19/TEKT1/CCDC170/CFAP46/FOXJ1/DNAH2/DNAI2/CCDC39/SPAG17/SPEF1/CFAP54/ENKUR/DNAH11/CFAP65/SPEF2/DNAH5/ROPN1L/TPPP3/LCA5L/CFAP53/CFAP45/DNAAF1/CFAP44/MAPK15/DRC7/TUBA1A/SAXO2/DIXDC1/DYNLRB2/SPA17/DRC1/DNAH9/DNAJB13/DAW1/CFAP69/DNAH6/IQCG/CCDC40/HYDIN/CCDC78/ZMYND10/CFAP43/IFT57/EFHC1/DNAH7/DNAH12/MNS1/DNAH10/MAP1A/DNAL1/RSPH1/TTC21A/CCDC187/RFX3/CCDC103/CDC14A/KIF9/IFT81/CFAP91/CETN2/MAP9/IFT88/DYNC2H1/SLAIN2/SLC9A3R1/ULK4/IFT46/CFAP298/TUBB4B/TTC26/GAS8/CFAP20/IFT74/PCM1/WDR73/DPCD/SPAG1/CCDC66/DYNLL1/DEFB1/HSPB1"
"GO:0007034","GO:0007034","vacuolar transport",2,"2/326","SORL1/GRN"
"GO:0007049","GO:0007049","cell cycle",32,"32/326","CEP126/STK33/MAPK15/FHL1/TUBA1A/CDKL1/MLF1/EFHC1/MNS1/RSPH1/CDC14A/JUN/MAP2K6/CETN2/MAP9/CSPP1/CALM1/SLC9A3R1/TUBB4B/CALM2/PIM2/PCM1/ZFP36L1/KMT5A/BTG2/MYC/CCN2/SFN/RPL26/PTGS2/NR4A1/RPS15A"
"GO:0007059","GO:0007059","chromosome segregation",2,"2/326","MAPK15/KMT5A"
"GO:0007154","GO:0007154","cell communication",100,"100/326","SPEF1/DZIP1L/STK33/MAPK15/DCDC2B/DIXDC1/DTHD1/BAIAP3/CD74/MGLL/RPGRIP1L/IFT57/SYT5/IQUB/CAPS/MAP1A/GJB7/RFX3/PLAT/JUN/IFT81/MAP2K6/EGR1/DYNC2H1/CAPN10/MYCBPAP/CALM1/SLC44A4/SLC9A3R1/EPAS1/RCAN1/ULK4/GPR155/RUVBL2/SORL1/ATF3/FOS/TTC26/GAS8/TULP3/ADGRF1/CCN1/HPSE/AUTS2/CALM2/PIM2/IFT74/GABRP/CFAP410/GRN/ARHGAP39/TRIB1/KITLG/DYNLL1/ZFP36L1/IL1R1/ERRFI1/RAP2B/DEFB1/NUDT4/FAM53B/LURAP1L/F3/ITGB4/SEMA5A/WDPCP/EGR3/BCL10/KMT5A/ADM/PRKAB2/ADORA2B/MYC/ADGRV1/RBMS3/PTPRS/HSPB1/CPNE3/CCN2/CTH/CD44/TGM2/CRY2/PRR5L/SFN/RPL26/PTGS2/GPRC5A/PTGES/TP63/NR4A1/DUSP6/CRLF1/TIMP3/IGFBP2/IL1R2/NDRG1/SCGB1A1/IL33/CHI3L1"
"GO:0007155","GO:0007155","cell adhesion",31,"31/326","FOXJ1/CLDN2/CDHR4/CD74/VCL/SDC4/CCN1/HPSE/IFT74/KITLG/ZFP36L1/RAP2B/ITGB4/SEMA5A/WDPCP/GCNT1/EGR3/BCL10/HSPH1/ADGRV1/PTPRS/HSPB1/CCN2/COL12A1/CD44/NECTIN1/TGM2/TPM1/IGFBP2/SCGB1A1/COL17A1"
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity",4,"4/326","FOXJ1/RPGRIP1L/SLC9A3R1/WDPCP"
"GO:0007165","GO:0007165","signal transduction",91,"91/326","SPEF1/DZIP1L/STK33/MAPK15/DCDC2B/DIXDC1/DTHD1/BAIAP3/CD74/MGLL/RPGRIP1L/IFT57/IQUB/CAPS/PLAT/JUN/IFT81/MAP2K6/EGR1/DYNC2H1/CALM1/SLC9A3R1/EPAS1/RCAN1/ULK4/GPR155/RUVBL2/SORL1/ATF3/FOS/TTC26/GAS8/TULP3/ADGRF1/CCN1/HPSE/AUTS2/CALM2/PIM2/IFT74/GABRP/CFAP410/GRN/ARHGAP39/TRIB1/KITLG/ZFP36L1/IL1R1/ERRFI1/RAP2B/DEFB1/NUDT4/FAM53B/LURAP1L/F3/ITGB4/SEMA5A/WDPCP/BCL10/KMT5A/ADM/PRKAB2/ADORA2B/MYC/ADGRV1/RBMS3/PTPRS/HSPB1/CPNE3/CCN2/CTH/CD44/TGM2/CRY2/PRR5L/SFN/RPL26/PTGS2/GPRC5A/PTGES/TP63/NR4A1/DUSP6/CRLF1/TIMP3/IGFBP2/IL1R2/NDRG1/SCGB1A1/IL33/CHI3L1"
"GO:0007272","GO:0007272","ensheathment of neurons",4,"4/326","ITGB4/FA2H/PTPRZ1/NDRG1"
"GO:0008037","GO:0008037","cell recognition",2,"2/326","SPA17/SEMA5A"
"GO:0008219","GO:0008219","cell death",45,"45/326","SPEF1/FANK1/CD74/IFT57/PACRG/JUN/MAP2K6/EGR1/CAPN10/SLC9A3R1/SORL1/ATF3/FOS/CCN1/PIM2/GRN/WDR73/KITLG/DYNLL1/ZFP36L1/IER3/SEMA5A/EGR3/BCL10/FOSL2/BTG2/ADM/MYC/HSPB1/CCN2/CTH/CD44/PTPRZ1/TGM2/FOXQ1/SFN/RPL26/PTGS2/TP63/NR4A1/DUSP6/CRLF1/TIMP3/ANGPTL4/CHI3L1"
"GO:0008283","GO:0008283","cell population proliferation",46,"46/326","FOXJ1/MAPK15/DIXDC1/CD74/IFT57/JUN/EGR1/SLC9A3R1/ATF3/GAS8/SDC4/CCN1/HPSE/PIM2/IFT74/GRN/PCM1/TRIB1/KITLG/ZFP36L1/ERRFI1/F3/SEMA5A/EGR3/FOSL2/BTG2/ADM/KRT4/MYC/FA2H/RPS9/CCN2/PTPRZ1/TGM2/SFN/PTGS2/TPM1/PTGES/TP63/NR4A1/RPS15A/CRLF1/IGFBP2/NDRG1/SCGB1A1/IL33"
"GO:0016049","GO:0016049","cell growth",7,"7/326","FHL1/SLC44A4/VCL/AUTS2/SEMA5A/PTPRS/SFN"
"GO:0016192","GO:0016192","vesicle-mediated transport",9,"9/326","MAPK15/BAIAP3/SYT5/CALM1/SORL1/SDC4/RABGAP1L/ADM/TGM2"
"GO:0019725","GO:0019725","cellular homeostasis",11,"11/326","BAIAP3/CKB/MAP1A/CALM1/SLC9A3R1/CALM2/GRN/DYNLL1/ADM/MYC/TGM2"
"GO:0022402","GO:0022402","cell cycle process",17,"17/326","CEP126/STK33/MAPK15/FHL1/EFHC1/CDC14A/CETN2/MAP9/CSPP1/CALM1/CALM2/PIM2/PCM1/ZFP36L1/KMT5A/CCN2/RPL26"
"GO:0022406","GO:0022406","membrane docking",1,"1/326","CALM1"
"GO:0022412","GO:0022412","cellular process involved in reproduction in multicellular organism",16,"16/326","CFAP65/SPEF2/ROPN1L/CFAP44/CFAP69/IQCG/CFAP43/PACRG/RFX2/MNS1/RSPH1/TTC21A/TTC26/STRBP/DYNLL1/DEFB1"
"GO:0030029","GO:0030029","actin filament-based process",11,"11/326","FOXJ1/DIXDC1/CAPN10/SLC9A3R1/PFN2/SDC4/AUTS2/SEMA5A/CCN2/TPM1/CALD1"
"GO:0043335","GO:0043335","protein unfolding",1,"1/326","ANGPTL4"
"GO:0048522","GO:0048522","positive regulation of cellular process",94,"94/326","FOXJ1/TPPP3/MAPK15/DIXDC1/FANK1/BAIAP3/NEK5/CFAP69/CD74/ZMYND10/IFT57/MNS1/MAP1A/RFX3/CDC14A/JUN/MAP2K6/EGR1/FAM161A/DYNC2H1/CAPN10/CSPP1/CALM1/SLC44A4/SLAIN2/SLC9A3R1/EPAS1/SULT1E1/RUVBL2/SORL1/ATF3/FOS/PFN2/GAS8/SDC4/CCN1/HPSE/AUTS2/CFAP20/CALM2/PIM2/IFT74/GRN/PCM1/TRIB1/PROM1/KITLG/DYNLL1/MYCBP/ZFP36L1/IL1R1/APOBEC1/HOPX/OAZ2/RAP2B/DEFB1/FAM53B/LURAP1L/F3/SEMA5A/EGR3/BCL10/FOSL2/BTG2/ADM/HSPH1/MYC/ADGRV1/HSPB1/CPNE3/RPS9/CCN2/CTH/CD44/PTPRZ1/TGM2/TFCP2L1/PRR5L/SFN/STOM/RPL26/PTGS2/TPM1/GPRC5A/PTGES/TP63/NR4A1/DUSP6/RPS15A/CRLF1/TIMP3/IGFBP2/IL33/CHI3L1"
"GO:0048523","GO:0048523","negative regulation of cellular process",87,"87/326","FOXJ1/SPEF1/STK33/MAPK15/FHL1/DIXDC1/FANK1/BASP1/CD74/RPGRIP1L/IFT57/PACRG/MAP1A/RFX3/PLAT/CST6/JUN/EGR1/CALM1/SLC9A3R1/ZNF875/RCAN1/RUVBL2/SORL1/ATF3/PFN2/GAS8/TULP3/VCL/SDC4/CCN1/CALM2/PIM2/IFT74/GRN/PCM1/WDR73/BPIFA1/TRIB1/KITLG/DYNLL1/ZFP36L1/IER3/APOBEC1/ERRFI1/HOPX/OAZ2/RAP2B/SEMA5A/EGR3/BCL10/CC2D1B/KMT5A/BTG2/ADM/KRT4/MYC/ADGRV1/RBMS3/PTPRS/HSPB1/CCN2/CTH/CD44/PTPRZ1/RPS14/TFCP2L1/CRY2/FOXQ1/PRR5L/SFN/RPL26/PTGS2/TPM1/GPRC5A/PTGES/TP63/NR4A1/DUSP6/CRLF1/TIMP3/IGFBP2/IL1R2/NDRG1/SCGB1A1/ANGPTL4/IL33"
"GO:0048869","GO:0048869","cellular developmental process",97,"97/326","ALPL/STMND1/FOXJ1/CFAP54/CFAP65/SPEF2/ROPN1L/CFAP44/FHL1/DIXDC1/SOAT2/BASP1/SPATA6/NEK5/CFAP69/IQCG/HYDIN/CD74/CCDC78/MORN2/MLF1/RPGRIP1L/CFAP43/PACRG/RFX2/MNS1/MAP1A/RSPH1/TTC21A/RFX3/DZANK1/JUN/MAP2K6/IFT88/EGR1/DYNC2H1/MYCBPAP/SLC44A4/SLC9A3R1/EPAS1/SULT1E1/RCAN1/ULK4/SORL1/ATF3/FOS/TTC26/TULP3/ADGRF1/VCL/SDC4/CCN1/AUTS2/MGST1/IFT74/GRN/STRBP/PCM1/TRIB1/PROM1/KITLG/DYNLL1/SYNE1/ZFP36L1/ERRFI1/HOPX/DEFB1/ITGB4/HES4/SEMA5A/WDPCP/EGR3/FOSL2/BTG2/ADM/KRT4/MYC/ADGRV1/PTPRS/FA2H/CCN2/COL12A1/CTH/CD44/PTPRZ1/RPS14/NECTIN1/TGM2/TFCP2L1/FOXQ1/SFN/PTGS2/TPM1/TP63/NR4A1/DUSP6/NDRG1"
