"","ID","Description","Count","GeneRatio","geneID"
"GO:0044281","GO:0044281","small molecule metabolic process",11,"11/109","EGR1/SULT1E1/WARS1/MPST/ATP5F1B/HMGB1/TPI1/ALDH2/NME2/NPC2/OAT"
"GO:0046034","GO:0046034","ATP metabolic process",3,"3/109","ATP1B1/ATP5F1B/TPI1"
"GO:0071704","GO:0071704","organic substance metabolic process",85,"85/109","EGR1/ATP1B1/RBM3/CCN1/RPL13A/CCN2/SULT1E1/BTG2/HPSE/CAPNS1/EGR3/RPL13/P4HB/PRNP/NCL/EIF2S2/HNRNPA1/RPL5/WARS1/RSAD2/EIF5A/SERPINB1/MPST/RACK1/ATP5F1B/HMGB1/RPS5/CBX3/TGM2/RPL35/APLP2/CD81/BTG1/MYC/CIRBP/RPL31/RPL23A/RPL19/TFRC/RPLP0/EIF3K/RPS11/RPS3/RPL18/RPL4/RPL18A/SFRP1/TPI1/ALDH2/PABPC4/JUNB/RPS4X/PSME1/DUSP6/NIBAN1/RPS18/RPL6/DSP/NME2/NPC2/IL1R1/RPS14/RPL8/NR4A1/MUC1/RPL24/RPS9/RPS8/RPL14/RPL12/RPL17/CRLF1/TFCP2L1/OAT/RPL29/LMO4/RPS25/TIMP3/EEF1B2/NPNT/SCGB1A1/TP63/IL33/DNAJB1/DNAJA4"
"GO:0001775","GO:0001775","cell activation",14,"14/109","EGR1/CCN2/EGR3/PRNP/RSAD2/HMGB1/CD81/TFRC/RPS3/SFRP1/IGFBP2/LMO4/SCGB1A1/IL33"
"GO:0006457","GO:0006457","protein folding",5,"5/109","HSPA6/P4HB/WDR83OS/DNAJB1/DNAJA4"
"GO:0006928","GO:0006928","movement of cell or subcellular component",18,"18/109","DEFB1/CCN1/CCN2/EGR3/RACK1/ATP5F1B/HMGB1/CD81/TPM1/BTG1/SFRP1/TMSB10/DSP/IL1R1/NR4A1/RPL24/LMO4/DNAJA4"
"GO:0006949","GO:0006949","syncytium formation",1,"1/109","CD81"
"GO:0007017","GO:0007017","microtubule-based process",2,"2/109","DEFB1/RPS3"
"GO:0007049","GO:0007049","cell cycle",13,"13/109","CCN2/BTG2/PRNP/RACK1/BTG1/MYC/RPS3/SFRP1/JUNB/PSME1/NR4A1/MUC1/RPL24"
"GO:0007059","GO:0007059","chromosome segregation",1,"1/109","RPS3"
"GO:0007154","GO:0007154","cell communication",42,"42/109","EGR1/ATP1B1/DEFB1/CCN1/RRAD/CCN2/GFRA1/WLS/HPSE/EGR3/P4HB/PRNP/HNRNPA1/RPL5/RSAD2/EIF5A/CLSTN1/RACK1/HMGB1/TGM2/APLP2/CD81/BCAM/MYC/TFRC/RPS3/SFRP1/DUSP6/DSP/NME2/IL1R1/IGFBP2/NR4A1/MUC1/CRLF1/LTBP2/TIMP3/NPNT/SCGB1A1/TP63/IL33/SDCBP2"
"GO:0007155","GO:0007155","cell adhesion",23,"23/109","ATP1B1/CCN1/CCN2/HPSE/EGR3/P4HB/PRNP/CLSTN1/HMGB1/TGM2/CD81/BCAM/TPM1/TFRC/RPS3/SFRP1/DSP/NME2/IGFBP2/MUC1/COL12A1/NPNT/SCGB1A1"
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity",1,"1/109","RACK1"
"GO:0007165","GO:0007165","signal transduction",38,"38/109","EGR1/ATP1B1/DEFB1/CCN1/RRAD/CCN2/GFRA1/WLS/HPSE/P4HB/PRNP/RPL5/RSAD2/EIF5A/RACK1/HMGB1/TGM2/APLP2/CD81/BCAM/MYC/TFRC/RPS3/SFRP1/DUSP6/NME2/IL1R1/IGFBP2/NR4A1/MUC1/CRLF1/LTBP2/TIMP3/NPNT/SCGB1A1/TP63/IL33/SDCBP2"
"GO:0008037","GO:0008037","cell recognition",1,"1/109","CD81"
"GO:0008219","GO:0008219","cell death",24,"24/109","EGR1/CCN1/CCN2/BTG2/EGR3/P4HB/PRNP/EIF5A/RACK1/HMGB1/TGM2/BTG1/MYC/TFRC/RPS3/SFRP1/DUSP6/NME2/SLC25A6/NR4A1/MUC1/CRLF1/TIMP3/TP63"
"GO:0008283","GO:0008283","cell population proliferation",31,"31/109","EGR1/CCN1/CCN2/BTG2/HPSE/CAPNS1/EGR3/PRNP/EIF2S2/WARS1/SERPINB1/HMGB1/TGM2/CD81/TPM1/BTG1/MYC/TFRC/RPS3/SFRP1/JUNB/RPS4X/NME2/IGFBP2/NR4A1/RPS9/CRLF1/SCGB1A1/TP63/IL33/SDCBP2"
"GO:0016049","GO:0016049","cell growth",4,"4/109","CLSTN1/RACK1/BTG1/SFRP1"
"GO:0016192","GO:0016192","vesicle-mediated transport",8,"8/109","HSPA6/CLSTN1/RACK1/HMGB1/TGM2/CD81/TFRC/SCAMP2"
"GO:0019725","GO:0019725","cellular homeostasis",9,"9/109","ATP1B1/PRNP/RACK1/ATP5F1B/HMGB1/TGM2/MYC/TFRC/NME2"
"GO:0022402","GO:0022402","cell cycle process",6,"6/109","CCN2/RPS3/SFRP1/PSME1/MUC1/RPL24"
"GO:0022412","GO:0022412","cellular process involved in reproduction in multicellular organism",3,"3/109","DEFB1/EIF2S2/SFRP1"
"GO:0030029","GO:0030029","actin filament-based process",5,"5/109","CCN2/TPM1/SFRP1/TMSB10/DSP"
"GO:0045103","GO:0045103","intermediate filament-based process",1,"1/109","DSP"
"GO:0048522","GO:0048522","positive regulation of cellular process",51,"51/109","EGR1/ATP1B1/DEFB1/RBM3/CCN1/CCN2/SULT1E1/BTG2/WLS/HPSE/CAPNS1/EGR3/P4HB/PRNP/NCL/HNRNPA1/RPL5/WARS1/RSAD2/EIF5A/CLSTN1/RACK1/ATP5F1B/HMGB1/TGM2/CD81/TPM1/BTG1/MYC/CIRBP/TFRC/RPS3/SFRP1/JUNB/RPS4X/PSME1/DUSP6/NIBAN1/NME2/IL1R1/IGFBP2/NR4A1/MUC1/RPS9/CRLF1/TFCP2L1/LMO4/TIMP3/NPNT/TP63/IL33"
"GO:0048523","GO:0048523","negative regulation of cellular process",43,"43/109","EGR1/BPIFA1/CCN1/RRAD/RPL13A/CCN2/BTG2/EGR3/PRNP/NCL/HNRNPA1/RPL5/WARS1/RSAD2/SERPINB1/RACK1/HMGB1/CBX3/APLP2/TPM1/BTG1/MYC/CIRBP/TFRC/RPS3/SFRP1/TMSB10/DUSP6/NIBAN1/NME2/IGFBP2/RPS14/NR4A1/MUC1/CRLF1/TFCP2L1/LMO4/TIMP3/SCGB1A1/TP63/IL33/DNAJB1/DNAJA4"
"GO:0048869","GO:0048869","cellular developmental process",31,"31/109","EGR1/DEFB1/CCN1/CCN2/SULT1E1/BTG2/EGR3/P4HB/RSAD2/ATP5F1B/HMGB1/TGM2/CD81/TPM1/BTG1/MYC/TFRC/SFRP1/PABPC4/JUNB/DUSP6/DSP/NME2/RPS14/NR4A1/COL12A1/RPL24/TFCP2L1/LMO4/NPNT/TP63"
"GO:0050794","GO:0050794","regulation of cellular process",71,"71/109","EGR1/ATP1B1/BPIFA1/DEFB1/RBM3/CCN1/RRAD/RPL13A/CCN2/SULT1E1/GFRA1/BTG2/WLS/HPSE/CAPNS1/EGR3/P4HB/PRNP/NCL/HNRNPA1/RPL5/WARS1/RSAD2/EIF5A/SERPINB1/CLSTN1/RACK1/ATP5F1B/HMGB1/CBX3/TGM2/APLP2/CD81/BCAM/TPM1/BTG1/MYC/CIRBP/TFRC/EIF3K/RPS3/SFRP1/PABPC4/JUNB/TMSB10/RPS4X/PSME1/DUSP6/NIBAN1/RPL6/DSP/NME2/NPC2/IL1R1/IGFBP2/RPS14/NR4A1/MUC1/RPS9/CRLF1/LTBP2/TFCP2L1/LMO4/TIMP3/NPNT/SCGB1A1/TP63/IL33/SDCBP2/DNAJB1/DNAJA4"
"GO:0051301","GO:0051301","cell division",4,"4/109","RACK1/MYC/RPS3/TP63"
"GO:0051641","GO:0051641","cellular localization",15,"15/109","ATP1B1/WLS/PRNP/HNRNPA1/CLSTN1/RACK1/ATP5F1B/CD81/WDR83OS/TFRC/TMSB10/NPC2/NR4A1/LTBP2/SDCBP2"
"GO:0051651","GO:0051651","maintenance of location in cell",1,"1/109","TMSB10"
"GO:0051674","GO:0051674","localization of cell",16,"16/109","DEFB1/CCN1/CCN2/EGR3/RACK1/ATP5F1B/HMGB1/CD81/TPM1/BTG1/SFRP1/TMSB10/IL1R1/NR4A1/LMO4/DNAJA4"
"GO:0051716","GO:0051716","cellular response to stimulus",50,"50/109","HSPA6/EGR1/ATP1B1/DEFB1/CCN1/RRAD/RPL13A/CCN2/GFRA1/BTG2/WLS/HPSE/EGR3/P4HB/PRNP/NCL/HNRNPA1/RPL5/RSAD2/EIF5A/RACK1/HMGB1/CBX3/TGM2/APLP2/CD81/BCAM/TPM1/MYC/TFRC/RPLP0/RPS3/SFRP1/JUNB/DUSP6/NIBAN1/NME2/IL1R1/IGFBP2/NR4A1/MUC1/CRLF1/LTBP2/TIMP3/NPNT/SCGB1A1/TP63/IL33/SDCBP2/DNAJB1"
"GO:0055085","GO:0055085","transmembrane transport",6,"6/109","ATP1B1/BPIFA1/RRAD/PRNP/ATP5F1B/SLC25A6"
"GO:0061919","GO:0061919","process utilizing autophagic mechanism",2,"2/109","CAPNS1/HMGB1"
"GO:0071840","GO:0071840","cellular component organization or biogenesis",48,"48/109","ATP1B1/CCN1/RPL13A/CCN2/BTG2/PRNP/EIF2S2/HNRNPA1/RPL5/WARS1/EIF5A/CLSTN1/RACK1/HMGB1/RPS5/CBX3/RPL35/TPM1/BTG1/MYC/WDR83OS/CIRBP/KRT5/RPL23A/TFRC/RPLP0/EIF3K/RPS3/SFRP1/TMSB10/RPL6/DSP/NME2/NPC2/RPS14/COL12A1/RPL24/RPS8/RPL14/LTBP2/TFCP2L1/LMO4/RPS25/NPNT/TP63/KRT15/DNAJB1/DNAJA4"
"GO:0098743","GO:0098743","cell aggregation",2,"2/109","BPIFA1/CCN2"
"GO:0140253","GO:0140253","cell-cell fusion",1,"1/109","CD81"
"GO:0140352","GO:0140352","export from cell",7,"7/109","ATP1B1/CCN2/WLS/RSAD2/SFRP1/NR4A1/LTBP2"
"GO:0019058","GO:0019058","viral life cycle",4,"4/109","P4HB/RSAD2/CD81/TFRC"
"GO:0019079","GO:0019079","viral genome replication",1,"1/109","RSAD2"
"GO:0048524","GO:0048524","positive regulation of viral process",1,"1/109","P4HB"
"GO:0048525","GO:0048525","negative regulation of viral process",1,"1/109","RSAD2"
"GO:0050792","GO:0050792","regulation of viral process",2,"2/109","P4HB/RSAD2"
"GO:0003006","GO:0003006","developmental process involved in reproduction",7,"7/109","DEFB1/CCN1/EIF2S2/BTG1/SFRP1/JUNB/TP63"
"GO:0007566","GO:0007566","embryo implantation",2,"2/109","RPL29/SCGB1A1"
"GO:0044703","GO:0044703","multi-organism reproductive process",8,"8/109","DEFB1/EIF2S2/BTG1/JUNB/IGFBP2/RPL29/SCGB1A1/TP63"
"GO:0048609","GO:0048609","multicellular organismal reproductive process",6,"6/109","EGR1/DEFB1/EIF2S2/BTG1/JUNB/TP63"
"GO:0060474","GO:0060474","positive regulation of flagellated sperm motility involved in capacitation",1,"1/109","DEFB1"
"GO:0060710","GO:0060710","chorio-allantoic fusion",1,"1/109","CCN1"
"GO:0097722","GO:0097722","sperm motility",1,"1/109","DEFB1"
"GO:2000241","GO:2000241","regulation of reproductive process",2,"2/109","DEFB1/SFRP1"
"GO:2000243","GO:2000243","positive regulation of reproductive process",1,"1/109","DEFB1"
"GO:0044406","GO:0044406","adhesion of symbiont to host",2,"2/109","BPIFA1/CD81"
"GO:0007267","GO:0007267","cell-cell signaling",10,"10/109","EGR1/WLS/EGR3/PRNP/CLSTN1/RACK1/SFRP1/IGFBP2/NR4A1/TP63"
"GO:0023051","GO:0023051","regulation of signaling",26,"26/109","EGR1/CCN1/CCN2/WLS/HPSE/P4HB/PRNP/RPL5/RSAD2/EIF5A/CLSTN1/RACK1/HMGB1/TGM2/CD81/MYC/TFRC/RPS3/SFRP1/DUSP6/IL1R1/IGFBP2/MUC1/TIMP3/NPNT/TP63"
"GO:0023056","GO:0023056","positive regulation of signaling",19,"19/109","CCN1/CCN2/WLS/HPSE/PRNP/RSAD2/EIF5A/CLSTN1/RACK1/HMGB1/TGM2/CD81/TFRC/RPS3/SFRP1/IL1R1/TIMP3/NPNT/TP63"
"GO:0023057","GO:0023057","negative regulation of signaling",10,"10/109","EGR1/PRNP/RACK1/MYC/SFRP1/DUSP6/IGFBP2/MUC1/TIMP3/TP63"
"GO:0035637","GO:0035637","multicellular organismal signaling",2,"2/109","ATP1B1/DSP"
"GO:0001503","GO:0001503","ossification",7,"7/109","CCN1/CCN2/ATP5F1B/SFRP1/JUNB/NPNT/TP63"
"GO:0001763","GO:0001763","morphogenesis of a branching structure",5,"5/109","TGM2/MYC/SFRP1/NPNT/TP63"
"GO:0001816","GO:0001816","cytokine production",11,"11/109","EGR1/HPSE/PRNP/RSAD2/SERPINB1/HMGB1/CD81/RPS3/IL1R1/SCGB1A1/IL33"
"GO:0003008","GO:0003008","system process",11,"11/109","ATP1B1/CCN2/BTG2/PRNP/TPM1/TFRC/DSP/NR4A1/OAT/TIMP3/NPNT"
"GO:0007275","GO:0007275","multicellular organism development",45,"45/109","EGR1/CCN1/CCN2/GFRA1/BTG2/WLS/HPSE/EGR3/RPL13/NCL/EIF2S2/WARS1/RSAD2/MPST/CLSTN1/RACK1/ATP5F1B/HMGB1/TGM2/CD81/TPM1/BTG1/MYC/RPL19/TFRC/SFRP1/PABPC4/JUNB/RPS4X/DUSP6/DSP/NME2/RPS14/NR4A1/COL12A1/RPL24/CRLF1/TFCP2L1/RPL29/LMO4/NPNT/SCGB1A1/TP63/SDCBP2/DNAJB1"
"GO:0007389","GO:0007389","pattern specification process",4,"4/109","BTG2/WLS/SFRP1/TP63"
"GO:0008340","GO:0008340","determination of adult lifespan",1,"1/109","TFCP2L1"
"GO:0019827","GO:0019827","stem cell population maintenance",3,"3/109","MYC/SFRP1/TP63"
"GO:0022404","GO:0022404","molting cycle process",2,"2/109","HPSE/TP63"
"GO:0032922","GO:0032922","circadian regulation of gene expression",1,"1/109","EGR1"
"GO:0035265","GO:0035265","organ growth",1,"1/109","DUSP6"
"GO:0042303","GO:0042303","molting cycle",2,"2/109","HPSE/TP63"
"GO:0044706","GO:0044706","multi-multicellular organism process",4,"4/109","JUNB/IGFBP2/RPL29/SCGB1A1"
"GO:0048771","GO:0048771","tissue remodeling",3,"3/109","TGM2/TFRC/SFRP1"
"GO:0048871","GO:0048871","multicellular organismal homeostasis",5,"5/109","EGR1/BPIFA1/CCN2/TFRC/TP63"
"GO:0050817","GO:0050817","coagulation",2,"2/109","HPSE/PABPC4"
"GO:0050879","GO:0050879","multicellular organismal movement",1,"1/109","NR4A1"
"GO:0051239","GO:0051239","regulation of multicellular organismal process",32,"32/109","EGR1/ATP1B1/CCN1/CCN2/HPSE/EGR3/PRNP/WARS1/RSAD2/SERPINB1/CLSTN1/RACK1/ATP5F1B/HMGB1/TGM2/CD81/TPM1/BTG1/MYC/TFRC/RPS3/SFRP1/DUSP6/DSP/NME2/IL1R1/NR4A1/NPNT/SCGB1A1/TP63/IL33/DNAJA4"
"GO:0051240","GO:0051240","positive regulation of multicellular organismal process",21,"21/109","EGR1/CCN1/CCN2/HPSE/EGR3/RSAD2/CLSTN1/RACK1/HMGB1/TGM2/CD81/TPM1/BTG1/MYC/TFRC/RPS3/NME2/IL1R1/NPNT/TP63/IL33"
"GO:0051241","GO:0051241","negative regulation of multicellular organismal process",9,"9/109","PRNP/SERPINB1/HMGB1/MYC/SFRP1/NME2/SCGB1A1/TP63/DNAJA4"
"GO:0090130","GO:0090130","tissue migration",5,"5/109","EGR3/ATP5F1B/HMGB1/NR4A1/DNAJA4"
"GO:0007568","GO:0007568","aging",5,"5/109","CCN2/PRNP/IGFBP2/TFCP2L1/TP63"
"GO:0009653","GO:0009653","anatomical structure morphogenesis",27,"27/109","CCN1/CCN2/WLS/HPSE/EGR3/P4HB/NCL/WARS1/RACK1/ATP5F1B/HMGB1/TGM2/CD81/TPM1/BTG1/MYC/TFRC/SFRP1/JUNB/DSP/NR4A1/COL12A1/RPL24/TFCP2L1/LMO4/NPNT/TP63"
"GO:0021700","GO:0021700","developmental maturation",3,"3/109","DEFB1/CLSTN1/TFCP2L1"
"GO:0048589","GO:0048589","developmental growth",3,"3/109","CD81/SFRP1/DUSP6"
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis",19,"19/109","CCN1/CCN2/WLS/HPSE/EGR3/NCL/WARS1/ATP5F1B/HMGB1/TGM2/CD81/TPM1/BTG1/SFRP1/JUNB/NR4A1/COL12A1/LMO4/TP63"
"GO:0048856","GO:0048856","anatomical structure development",49,"49/109","EGR1/DEFB1/CCN1/CCN2/GFRA1/BTG2/WLS/HPSE/EGR3/RPL13/P4HB/NCL/EIF2S2/WARS1/RSAD2/MPST/CLSTN1/RACK1/ATP5F1B/HMGB1/TGM2/CD81/TPM1/BTG1/MYC/KRT5/RPL19/TFRC/SFRP1/PABPC4/JUNB/RPS4X/DUSP6/DSP/NME2/RPS14/NR4A1/COL12A1/RPL24/CRLF1/TFCP2L1/RPL29/LMO4/NPNT/SCGB1A1/TP63/KRT15/SDCBP2/DNAJB1"
"GO:0050793","GO:0050793","regulation of developmental process",22,"22/109","CCN1/CCN2/SULT1E1/HPSE/EGR3/P4HB/WARS1/CLSTN1/RACK1/HMGB1/TGM2/TPM1/BTG1/MYC/TFRC/SFRP1/JUNB/DUSP6/NME2/LMO4/NPNT/TP63"
"GO:0051093","GO:0051093","negative regulation of developmental process",6,"6/109","HMGB1/MYC/TFRC/SFRP1/NME2/TP63"
"GO:0051094","GO:0051094","positive regulation of developmental process",18,"18/109","CCN1/CCN2/SULT1E1/HPSE/EGR3/P4HB/CLSTN1/RACK1/HMGB1/TGM2/BTG1/MYC/TFRC/SFRP1/JUNB/NME2/NPNT/TP63"
"GO:0098727","GO:0098727","maintenance of cell number",3,"3/109","MYC/SFRP1/TP63"
"GO:0040008","GO:0040008","regulation of growth",7,"7/109","CLSTN1/RACK1/BTG1/SFRP1/DUSP6/IGFBP2/TFCP2L1"
"GO:0045926","GO:0045926","negative regulation of growth",3,"3/109","RACK1/BTG1/SFRP1"
"GO:0045927","GO:0045927","positive regulation of growth",2,"2/109","SFRP1/TFCP2L1"
"GO:0040012","GO:0040012","regulation of locomotion",12,"12/109","DEFB1/CCN1/RACK1/ATP5F1B/HMGB1/CD81/TPM1/SFRP1/TMSB10/IL1R1/LMO4/DNAJA4"
"GO:0040013","GO:0040013","negative regulation of locomotion",4,"4/109","HMGB1/TPM1/SFRP1/DNAJA4"
"GO:0040017","GO:0040017","positive regulation of locomotion",6,"6/109","DEFB1/CCN1/RACK1/ATP5F1B/HMGB1/IL1R1"
"GO:0042330","GO:0042330","taxis",6,"6/109","DEFB1/CCN1/EGR3/HMGB1/NR4A1/RPL24"
"GO:0048870","GO:0048870","cell motility",16,"16/109","DEFB1/CCN1/CCN2/EGR3/RACK1/ATP5F1B/HMGB1/CD81/TPM1/BTG1/SFRP1/TMSB10/IL1R1/NR4A1/LMO4/DNAJA4"
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction",4,"4/109","BPIFA1/P4HB/CD81/TFRC"
"GO:0051707","GO:0051707","response to other organism",9,"9/109","BPIFA1/DEFB1/RPL13A/RSAD2/EIF5A/HMGB1/NPC2/NR4A1/SCGB1A1"
