"","ID","Description","Count","GeneRatio","geneID"
"GO:0019222","GO:0019222","regulation of metabolic process",42,"42/97","JUN/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/ATF3/RPS13/PLAT/ATP6V0E1/SDC4/RAMP1/EFEMP1/HSPA5/AGR2/SPP1/CD47/AGRN/BASP1/NR2F2/APOBEC1/OXR1/SRSF6/BACE2/EPCAM/ZFP36/ME1/HBEGF/PMEPA1/FOSB/ECE1/ICAM1/NOX4/SPRED1/VEGFA/KLF2/NR4A1/PTGS2/F3"
"GO:0032963","GO:0032963","collagen metabolic process",1,"1/97","MMP7"
"GO:0042445","GO:0042445","hormone metabolic process",3,"3/97","SPP1/BACE2/ECE1"
"GO:0044237","GO:0044237","cellular metabolic process",57,"57/97","JUN/RPS29/RPS27/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/RPL30/AK7/ATF3/RPS13/PLAT/ATP6V0E1/SDC4/RPS23/RAMP1/EFEMP1/HSPA5/SPP1/PON2/RPL21/FUCA1/ACSL4/CD47/NME9/PLOD2/AGRN/BASP1/NR2F2/APOBEC1/OXR1/SRSF6/CETN2/BACE2/PPIB/EPCAM/ZFP36/ME1/HBEGF/PMEPA1/FOSB/ECE1/LSS/ICAM1/NOX4/CUL4B/SPRED1/VEGFA/KLF2/LOXL4/NR4A1/PTGS2/F3"
"GO:0044238","GO:0044238","primary metabolic process",58,"58/97","JUN/RPS29/RPS27/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/RPL30/AK7/ATF3/RPS13/PLAT/SDC4/RPS23/RAMP1/EFEMP1/HSPA5/LRP10/PDIA3/SPP1/RPL21/FUCA1/ACSL4/NME9/TM7SF2/PLOD2/AGRN/BASP1/NR2F2/APOBEC1/OXR1/SRSF6/CETN2/BACE2/PPIB/EPCAM/ZFP36/ME1/HBEGF/PMEPA1/FOSB/ECE1/LSS/ICAM1/MMP7/NOX4/CUL4B/SPRED1/VEGFA/KLF2/LOXL4/NR4A1/PTGS2/F3"
"GO:0044281","GO:0044281","small molecule metabolic process",12,"12/97","AK7/ATF3/FUCA1/ACSL4/NME9/TM7SF2/PLOD2/APOBEC1/ME1/LSS/NOX4/PTGS2"
"GO:0070085","GO:0070085","glycosylation",1,"1/97","RAMP1"
"GO:0070988","GO:0070988","demethylation",1,"1/97","APOBEC1"
"GO:0071704","GO:0071704","organic substance metabolic process",60,"60/97","JUN/RPS29/RPS27/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/RPL30/AK7/ATF3/RPS13/PLAT/SDC4/RPS23/RAMP1/EFEMP1/HSPA5/AGR2/LRP10/PDIA3/SPP1/RPL21/FUCA1/ACSL4/CD47/NME9/TM7SF2/PLOD2/AGRN/BASP1/NR2F2/APOBEC1/OXR1/SRSF6/CETN2/BACE2/PPIB/EPCAM/ZFP36/ME1/HBEGF/PMEPA1/FOSB/ECE1/LSS/ICAM1/MMP7/NOX4/CUL4B/SPRED1/VEGFA/KLF2/LOXL4/NR4A1/PTGS2/F3"
"GO:1990845","GO:1990845","adaptive thermogenesis",1,"1/97","VEGFA"
"GO:0001775","GO:0001775","cell activation",6,"6/97","FOXJ1/PLAT/SDC4/CD47/BACE2/ICAM1"
"GO:0001906","GO:0001906","cell killing",2,"2/97","RPL30/ICAM1"
"GO:0006457","GO:0006457","protein folding",4,"4/97","HSP90B1/HSPA5/PDIA3/PPIB"
"GO:0006928","GO:0006928","movement of cell or subcellular component",26,"26/97","FOXJ1/CCN1/DUSP1/TRIB1/PLAT/SDC4/HSPA5/DNAAF1/DYNLRB2/CD47/TMSB10/NR2F2/PPIB/EPCAM/HBEGF/SDC1/RHOB/ICAM1/MMP7/NOX4/SPRED1/VEGFA/TPM1/NR4A1/PTGS2/F3"
"GO:0007017","GO:0007017","microtubule-based process",6,"6/97","FOXJ1/SAXO2/DNAAF1/DYNLRB2/CETN2/TPPP3"
"GO:0007034","GO:0007034","vacuolar transport",1,"1/97","RHOB"
"GO:0007049","GO:0007049","cell cycle",10,"10/97","JUN/TXNIP/DUSP1/KRT18/NR2F2/CETN2/RHOB/CUL4B/NR4A1/PTGS2"
"GO:0007059","GO:0007059","chromosome segregation",1,"1/97","DUSP1"
"GO:0007154","GO:0007154","cell communication",39,"39/97","JUN/RPL37/CCN1/TXNIP/DUSP1/TRIB1/ATF3/GABRP/PLAT/KRT18/RAMP1/EFEMP1/ABCC4/HSPA5/AGR2/PDIA3/SPP1/ACSL4/CD47/SORBS2/AGRN/TXNDC17/NR2F2/CDH6/EPCAM/ZFP36/HBEGF/PMEPA1/SDC1/RHOB/ECE1/ICAM1/CDC42EP3/SPRED1/VEGFA/KLF2/NR4A1/PTGS2/F3"
"GO:0007155","GO:0007155","cell adhesion",17,"17/97","FOXJ1/CCN1/DUSP1/KRT18/SDC4/AGR2/SPP1/CD47/CDHR4/CDH6/EPCAM/RHOB/S100A10/ICAM1/VEGFA/CLDN8/TPM1"
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity",2,"2/97","FOXJ1/RHOB"
"GO:0007165","GO:0007165","signal transduction",38,"38/97","JUN/RPL37/CCN1/TXNIP/DUSP1/TRIB1/ATF3/GABRP/PLAT/KRT18/RAMP1/EFEMP1/ABCC4/HSPA5/AGR2/PDIA3/SPP1/CD47/SORBS2/AGRN/TXNDC17/NR2F2/CDH6/EPCAM/ZFP36/HBEGF/PMEPA1/SDC1/RHOB/ECE1/ICAM1/CDC42EP3/SPRED1/VEGFA/KLF2/NR4A1/PTGS2/F3"
"GO:0008219","GO:0008219","cell death",20,"20/97","JUN/CCN1/TXNIP/DUSP1/HSP90B1/ATF3/KRT18/HSPA5/AGR2/PDIA3/OXR1/SRSF6/EPCAM/ZFP36/RHOB/ICAM1/NOX4/VEGFA/NR4A1/PTGS2"
"GO:0008283","GO:0008283","cell population proliferation",20,"20/97","JUN/FOXJ1/CCN1/TXNIP/TRIB1/ATF3/SDC4/ABCC4/CD47/NR2F2/SRSF6/EPCAM/ZFP36/HBEGF/NOX4/VEGFA/TPM1/NR4A1/PTGS2/F3"
"GO:0016049","GO:0016049","cell growth",4,"4/97","SPP1/SORBS2/HBEGF/VEGFA"
"GO:0016192","GO:0016192","vesicle-mediated transport",12,"12/97","KRT18/SDC4/RAMP1/ABCC4/LRP10/CD47/FCGRT/SDC1/RHOB/S100A10/VEGFA/LOXL4"
"GO:0019725","GO:0019725","cellular homeostasis",3,"3/97","HSP90B1/ATP6V0E1/ICAM1"
"GO:0022402","GO:0022402","cell cycle process",4,"4/97","DUSP1/CETN2/RHOB/CUL4B"
"GO:0022406","GO:0022406","membrane docking",1,"1/97","ICAM1"
"GO:0030029","GO:0030029","actin filament-based process",14,"14/97","FOXJ1/HSP90B1/TPM4/SDC4/CD47/SORBS2/CALD1/TMSB10/RHOB/S100A10/ICAM1/CDC42EP3/NOX4/TPM1"
"GO:0045103","GO:0045103","intermediate filament-based process",1,"1/97","KRT18"
"GO:0048522","GO:0048522","positive regulation of cellular process",42,"42/97","JUN/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/TRIB1/ATF3/SDC4/RAMP1/ABCC4/HSPA5/AGR2/PDIA3/SPP1/ACSL4/CD47/AGRN/TMEM30A/NR2F2/APOBEC1/SRSF6/EPCAM/ZFP36/HBEGF/SDC1/TPPP3/FOSB/RHOB/ECE1/S100A10/ICAM1/CDC42EP3/MMP7/NOX4/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0048523","GO:0048523","negative regulation of cellular process",41,"41/97","JUN/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/ATF3/RPS13/PLAT/KRT18/SDC4/EFEMP1/HSPA5/AGR2/SPP1/CD47/TMSB10/BASP1/NR2F2/APOBEC1/OXR1/SRSF6/BACE2/EPCAM/ZFP36/BPIFA1/HBEGF/PMEPA1/FOSB/RHOB/ICAM1/NOX4/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2"
"GO:0048869","GO:0048869","cellular developmental process",35,"35/97","JUN/FOXJ1/CCN1/TXNIP/TRIB1/ATF3/TPM4/KRT18/SDC4/EFEMP1/HSPA5/AGR2/SPP1/ACSL4/SORBS2/AGRN/BASP1/TMEM30A/NR2F2/SRSF6/BACE2/EPCAM/ZFP36/SDC1/RHOB/S100A10/ICAM1/NOX4/CUL4B/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2"
"GO:0050794","GO:0050794","regulation of cellular process",62,"62/97","JUN/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/ATF3/GABRP/RPS13/PLAT/ATP6V0E1/KRT18/SDC4/RAMP1/EFEMP1/ABCC4/HSPA5/DNAAF1/AGR2/PDIA3/SPP1/ACSL4/CD47/SORBS2/AGRN/TMSB10/TXNDC17/BASP1/TMEM30A/NR2F2/APOBEC1/TSPAN13/OXR1/SRSF6/CETN2/CDH6/BACE2/EPCAM/ZFP36/BPIFA1/HBEGF/PMEPA1/SDC1/TPPP3/FOSB/RHOB/ECE1/S100A10/ICAM1/CDC42EP3/MMP7/NOX4/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0051301","GO:0051301","cell division",4,"4/97","TXNIP/CETN2/RHOB/VEGFA"
"GO:0051641","GO:0051641","cellular localization",18,"18/97","FOXJ1/TXNIP/HSP90B1/KRT18/RAMP1/ABCC4/HSPA5/AGR2/SEC62/AGRN/TMSB10/TMEM30A/SSR2/ZFP36/RHOB/S100A10/NR4A1/PTGS2"
"GO:0051651","GO:0051651","maintenance of location in cell",3,"3/97","HSP90B1/HSPA5/TMSB10"
"GO:0051674","GO:0051674","localization of cell",24,"24/97","FOXJ1/CCN1/DUSP1/TRIB1/PLAT/SDC4/HSPA5/CD47/TMSB10/NR2F2/PPIB/EPCAM/HBEGF/SDC1/RHOB/ICAM1/MMP7/NOX4/SPRED1/VEGFA/TPM1/NR4A1/PTGS2/F3"
"GO:0051716","GO:0051716","cellular response to stimulus",50,"50/97","JUN/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/ATF3/GABRP/PLAT/KRT18/RAMP1/EFEMP1/ABCC4/HSPA5/AGR2/PDIA3/SPP1/CD47/SORBS2/AGRN/TXNDC17/NR2F2/APOBEC1/SRXN1/OXR1/CETN2/CDH6/PPIB/EPCAM/ZFP36/HBEGF/PMEPA1/SDC1/FOSB/RHOB/ECE1/ICAM1/CDC42EP3/MMP7/NOX4/CUL4B/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0055085","GO:0055085","transmembrane transport",8,"8/97","GABRP/ATP6V0E1/ABCC4/HSPA5/SEC62/TMEM30A/TSPAN13/BPIFA1"
"GO:0061919","GO:0061919","process utilizing autophagic mechanism",1,"1/97","ATP6V0E1"
"GO:0071840","GO:0071840","cellular component organization or biogenesis",44,"44/97","JUN/RPS27/FOXJ1/BBOF1/CCN1/DUSP1/HSP90B1/AK7/TPM4/KRT18/SAXO2/SDC4/RPS23/ABCC4/HSPA5/DNAAF1/SPP1/ACSL4/CD47/SORBS2/CALD1/AGRN/TMSB10/TMEM30A/APOBEC1/SRSF6/CETN2/CDH6/HBEGF/PMEPA1/SDC1/TPPP3/RHOB/S100A10/ICAM1/CDC42EP3/MMP7/NOX4/COL4A4/CUL4B/VEGFA/CLDN8/TPM1/LOXL4"
"GO:0098743","GO:0098743","cell aggregation",1,"1/97","BPIFA1"
"GO:0140352","GO:0140352","export from cell",6,"6/97","SDC4/ABCC4/SPP1/ACSL4/SDC1/NR4A1"
"GO:1990748","GO:1990748","cellular detoxification",3,"3/97","TXNDC17/SRXN1/PTGS2"
"GO:0019058","GO:0019058","viral life cycle",2,"2/97","PPIB/ICAM1"
"GO:0019079","GO:0019079","viral genome replication",1,"1/97","PPIB"
"GO:0019080","GO:0019080","viral gene expression",2,"2/97","JUN/ZFP36"
"GO:0019083","GO:0019083","viral transcription",2,"2/97","JUN/ZFP36"
"GO:0044794","GO:0044794","positive regulation by host of viral process",1,"1/97","PPIB"
"GO:0048525","GO:0048525","negative regulation of viral process",1,"1/97","ZFP36"
"GO:0050792","GO:0050792","regulation of viral process",1,"1/97","ZFP36"
"GO:0003006","GO:0003006","developmental process involved in reproduction",12,"12/97","FOXJ1/CCN1/HSPA5/SPP1/BASP1/NR2F2/CETN2/SDC1/TPPP3/ICAM1/VEGFA/PTGS2"
"GO:0007343","GO:0007343","egg activation",1,"1/97","PLAT"
"GO:0007566","GO:0007566","embryo implantation",4,"4/97","SPP1/TPPP3/VEGFA/PTGS2"
"GO:0009566","GO:0009566","fertilization",2,"2/97","PLAT/NR2F2"
"GO:0022602","GO:0022602","ovulation cycle process",1,"1/97","HSPA5"
"GO:0044703","GO:0044703","multi-organism reproductive process",11,"11/97","FOXJ1/PLAT/SPP1/ACSL4/NR2F2/CETN2/TPPP3/FOSB/MMP7/VEGFA/PTGS2"
"GO:0048609","GO:0048609","multicellular organismal reproductive process",9,"9/97","FOXJ1/HSPA5/SPP1/ACSL4/NR2F2/CETN2/TPPP3/MMP7/PTGS2"
"GO:0051321","GO:0051321","meiotic cell cycle",1,"1/97","DUSP1"
"GO:0060468","GO:0060468","prevention of polyspermy",1,"1/97","PLAT"
"GO:0060710","GO:0060710","chorio-allantoic fusion",1,"1/97","CCN1"
"GO:0061450","GO:0061450","trophoblast cell migration",1,"1/97","VEGFA"
"GO:2000241","GO:2000241","regulation of reproductive process",3,"3/97","DUSP1/PLAT/VEGFA"
"GO:2000242","GO:2000242","negative regulation of reproductive process",2,"2/97","DUSP1/PLAT"
"GO:2000243","GO:2000243","positive regulation of reproductive process",1,"1/97","VEGFA"
"GO:0044406","GO:0044406","adhesion of symbiont to host",2,"2/97","BPIFA1/ICAM1"
"GO:0007267","GO:0007267","cell-cell signaling",9,"9/97","GABRP/PLAT/ABCC4/SPP1/ACSL4/AGRN/SDC1/NR4A1/PTGS2"
"GO:0023051","GO:0023051","regulation of signaling",21,"21/97","RPL37/CCN1/DUSP1/TRIB1/ATF3/RAMP1/HSPA5/AGR2/PDIA3/SPP1/ACSL4/CD47/HBEGF/PMEPA1/ECE1/ICAM1/SPRED1/VEGFA/KLF2/PTGS2/F3"
"GO:0023056","GO:0023056","positive regulation of signaling",15,"15/97","RPL37/CCN1/ATF3/AGR2/PDIA3/SPP1/ACSL4/HBEGF/ECE1/ICAM1/SPRED1/VEGFA/KLF2/PTGS2/F3"
"GO:0023057","GO:0023057","negative regulation of signaling",9,"9/97","DUSP1/TRIB1/ATF3/HSPA5/CD47/PMEPA1/ICAM1/SPRED1/PTGS2"
"GO:0001503","GO:0001503","ossification",4,"4/97","CCN1/TPM4/SPP1/PTGS2"
"GO:0001763","GO:0001763","morphogenesis of a branching structure",1,"1/97","VEGFA"
"GO:0001816","GO:0001816","cytokine production",6,"6/97","FOXJ1/CD47/ZFP36/KLF2/PTGS2/F3"
"GO:0003008","GO:0003008","system process",17,"17/97","JUN/GABRP/TPM4/EFEMP1/ABCC4/SORBS2/CALD1/NR2F2/HBEGF/ECE1/ICAM1/NOX4/VEGFA/TPM1/KLF2/NR4A1/PTGS2"
"GO:0007275","GO:0007275","multicellular organism development",44,"44/97","JUN/FOXJ1/CCN1/TXNIP/DUSP1/TRIB1/ATF3/KRT18/SDC4/RAMP1/EFEMP1/HSPA5/DNAAF1/AGR2/LRP10/SPP1/ACSL4/SORBS2/CALD1/AGRN/BASP1/TMEM30A/NR2F2/SRSF6/CDH6/BACE2/PPIB/EPCAM/ZFP36/HBEGF/SDC1/TPPP3/RHOB/ECE1/ICAM1/COL4A4/CUL4B/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0007389","GO:0007389","pattern specification process",4,"4/97","FOXJ1/DNAAF1/BASP1/NR2F2"
"GO:0009791","GO:0009791","post-embryonic development",2,"2/97","EFEMP1/VEGFA"
"GO:0032941","GO:0032941","secretion by tissue",1,"1/97","AGR2"
"GO:0035264","GO:0035264","multicellular organism growth",2,"2/97","PPIB/KLF2"
"GO:0035265","GO:0035265","organ growth",2,"2/97","SORBS2/BASP1"
"GO:0042303","GO:0042303","molting cycle",1,"1/97","PTGS2"
"GO:0044706","GO:0044706","multi-multicellular organism process",8,"8/97","SPP1/ACSL4/NR2F2/TPPP3/FOSB/MMP7/VEGFA/PTGS2"
"GO:0048771","GO:0048771","tissue remodeling",1,"1/97","SPP1"
"GO:0048871","GO:0048871","multicellular organismal homeostasis",4,"4/97","SPP1/BPIFA1/VEGFA/PTGS2"
"GO:0050817","GO:0050817","coagulation",2,"2/97","PLAT/F3"
"GO:0050879","GO:0050879","multicellular organismal movement",1,"1/97","NR4A1"
"GO:0051239","GO:0051239","regulation of multicellular organismal process",25,"25/97","JUN/FOXJ1/CCN1/TRIB1/PLAT/EFEMP1/SPP1/CD47/AGRN/BASP1/NR2F2/SRSF6/PPIB/ZFP36/HBEGF/RHOB/ECE1/ICAM1/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0051240","GO:0051240","positive regulation of multicellular organismal process",13,"13/97","JUN/FOXJ1/CCN1/TRIB1/AGRN/BASP1/PPIB/RHOB/ICAM1/VEGFA/TPM1/PTGS2/F3"
"GO:0051241","GO:0051241","negative regulation of multicellular organismal process",11,"11/97","FOXJ1/TRIB1/PLAT/EFEMP1/SPP1/NR2F2/SRSF6/ZFP36/SPRED1/KLF2/PTGS2"
"GO:0090130","GO:0090130","tissue migration",7,"7/97","NR2F2/HBEGF/RHOB/SPRED1/VEGFA/NR4A1/PTGS2"
"GO:0007568","GO:0007568","aging",5,"5/97","JUN/ICAM1/MMP7/NOX4/PTGS2"
"GO:0009653","GO:0009653","anatomical structure morphogenesis",33,"33/97","JUN/FOXJ1/CCN1/DUSP1/KRT18/SDC4/RAMP1/EFEMP1/HSPA5/DNAAF1/AGR2/SPP1/CALD1/AGRN/BASP1/NR2F2/SRSF6/CDH6/HBEGF/SDC1/RHOB/ECE1/S100A10/ICAM1/CDC42EP3/NOX4/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0021700","GO:0021700","developmental maturation",3,"3/97","AGRN/VEGFA/KLF2"
"GO:0048532","GO:0048532","anatomical structure arrangement",1,"1/97","HSPA5"
"GO:0048589","GO:0048589","developmental growth",8,"8/97","AGR2/SPP1/SORBS2/AGRN/BASP1/PPIB/VEGFA/KLF2"
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis",15,"15/97","JUN/FOXJ1/CCN1/DUSP1/SDC4/RAMP1/CALD1/RHOB/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0048856","GO:0048856","anatomical structure development",47,"47/97","JUN/FOXJ1/CCN1/TXNIP/DUSP1/TRIB1/ATF3/KRT18/SDC4/RAMP1/EFEMP1/HSPA5/DNAAF1/AGR2/LRP10/SPP1/ACSL4/SORBS2/CALD1/AGRN/BASP1/TMEM30A/NR2F2/SRSF6/CDH6/BACE2/PPIB/EPCAM/ZFP36/HBEGF/SDC1/TPPP3/RHOB/ECE1/S100A10/ICAM1/CDC42EP3/NOX4/COL4A4/CUL4B/SPRED1/VEGFA/TPM1/KLF2/NR4A1/PTGS2/F3"
"GO:0050793","GO:0050793","regulation of developmental process",22,"22/97","JUN/FOXJ1/CCN1/TRIB1/EFEMP1/AGR2/SPP1/AGRN/BASP1/SRSF6/PPIB/ZFP36/RHOB/S100A10/ICAM1/CDC42EP3/SPRED1/VEGFA/TPM1/KLF2/PTGS2/F3"
"GO:0051093","GO:0051093","negative regulation of developmental process",9,"9/97","FOXJ1/TRIB1/EFEMP1/SPP1/SRSF6/ZFP36/SPRED1/VEGFA/KLF2"
"GO:0051094","GO:0051094","positive regulation of developmental process",14,"14/97","JUN/FOXJ1/CCN1/TRIB1/AGR2/AGRN/BASP1/PPIB/ZFP36/RHOB/S100A10/VEGFA/PTGS2/F3"
"GO:0040008","GO:0040008","regulation of growth",7,"7/97","AGR2/SPP1/AGRN/BASP1/PPIB/HBEGF/VEGFA"
"GO:0045926","GO:0045926","negative regulation of growth",1,"1/97","SPP1"
"GO:0045927","GO:0045927","positive regulation of growth",6,"6/97","AGR2/AGRN/BASP1/PPIB/HBEGF/VEGFA"
"GO:0040012","GO:0040012","regulation of locomotion",19,"19/97","CCN1/DUSP1/TRIB1/SDC4/HSPA5/CD47/TMSB10/NR2F2/EPCAM/HBEGF/RHOB/ICAM1/MMP7/NOX4/SPRED1/VEGFA/TPM1/PTGS2/F3"
"GO:0040013","GO:0040013","negative regulation of locomotion",6,"6/97","DUSP1/TRIB1/NR2F2/RHOB/SPRED1/TPM1"
"GO:0040017","GO:0040017","positive regulation of locomotion",12,"12/97","CCN1/HSPA5/CD47/EPCAM/HBEGF/RHOB/ICAM1/MMP7/NOX4/VEGFA/PTGS2/F3"
"GO:0042330","GO:0042330","taxis",7,"7/97","CCN1/DUSP1/PPIB/HBEGF/VEGFA/NR4A1/F3"
"GO:0048870","GO:0048870","cell motility",24,"24/97","FOXJ1/CCN1/DUSP1/TRIB1/PLAT/SDC4/HSPA5/CD47/TMSB10/NR2F2/PPIB/EPCAM/HBEGF/SDC1/RHOB/ICAM1/MMP7/NOX4/SPRED1/VEGFA/TPM1/NR4A1/PTGS2/F3"
"GO:0031640","GO:0031640","killing of cells of other organism",1,"1/97","RPL30"
"GO:0035821","GO:0035821","modulation of process of other organism",2,"2/97","JUN/PPIB"
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction",4,"4/97","JUN/PPIB/BPIFA1/ICAM1"
"GO:0051707","GO:0051707","response to other organism",10,"10/97","JUN/TRIB1/RPL30/CD47/APOBEC1/ZFP36/BPIFA1/ICAM1/NR4A1/PTGS2"
"GO:0007623","GO:0007623","circadian rhythm",1,"1/97","JUN"
"GO:0042698","GO:0042698","ovulation cycle",2,"2/97","HSPA5/MMP7"
"GO:0045780","GO:0045780","positive regulation of bone resorption",1,"1/97","SPP1"
"GO:0048584","GO:0048584","positive regulation of response to stimulus",13,"13/97","RPL37/CCN1/ATF3/AGR2/PDIA3/CD47/HBEGF/ICAM1/SPRED1/VEGFA/KLF2/PTGS2/F3"
"GO:0051050","GO:0051050","positive regulation of transport",8,"8/97","SDC4/SPP1/ACSL4/CD47/TMEM30A/SDC1/VEGFA/PTGS2"
"GO:0060148","GO:0060148","positive regulation of posttranscriptional gene silencing",1,"1/97","ZFP36"
"GO:0110151","GO:0110151","positive regulation of biomineralization",1,"1/97","CCN1"
"GO:1900048","GO:1900048","positive regulation of hemostasis",1,"1/97","F3"
"GO:1904951","GO:1904951","positive regulation of establishment of protein localization",3,"3/97","ACSL4/TMEM30A/PTGS2"
"GO:1905954","GO:1905954","positive regulation of lipid localization",2,"2/97","SPP1/TMEM30A"
"GO:0048585","GO:0048585","negative regulation of response to stimulus",14,"14/97","FOXJ1/DUSP1/TRIB1/ATF3/PLAT/HSPA5/SPP1/CD47/OXR1/ZFP36/PMEPA1/ICAM1/SPRED1/PTGS2"
"GO:0051051","GO:0051051","negative regulation of transport",3,"3/97","CD47/ICAM1/PTGS2"
"GO:0060969","GO:0060969","negative regulation of gene silencing",1,"1/97","APOBEC1"
