"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0052547","GO:0052547","regulation of peptidase activity","13/105","461/18723",1.83927347711737e-06,0.000374208549253515,0.00032842912041158,"CCN1/CCN2/PRNP/SERPINB1/RACK1/HMGB1/APLP2/MYC/RPS3/PSME1/NR4A1/TIMP3/TP63",13
"GO:0034250","GO:0034250","positive regulation of cellular amide metabolic process","8/105","162/18723",3.61655703370649e-06,0.00067448788678626,0.000591973282885641,"RBM3/CCN1/RPL5/EIF5A/CIRBP/RPS4X/NIBAN1/RPS9",8
"GO:0045785","GO:0045785","positive regulation of cell adhesion","12/105","437/18723",6.17689761947336e-06,0.00101033920373453,0.000886737667169295,"CCN1/EGR3/P4HB/HMGB1/TGM2/CD81/TPM1/TFRC/RPS3/SFRP1/IGFBP2/NPNT",12
"GO:0044346","GO:0044346","fibroblast apoptotic process","4/105","22/18723",6.32026311540816e-06,0.00101033920373453,0.000886737667169295,"BTG1/MYC/SFRP1/TP63",4
"GO:0045727","GO:0045727","positive regulation of translation","7/105","136/18723",1.150444254288e-05,0.00171646282739769,0.00150647647614133,"RBM3/RPL5/EIF5A/CIRBP/RPS4X/NIBAN1/RPS9",7
"GO:0043281","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","8/105","209/18723",2.32644919981234e-05,0.00325412081823752,0.00285602250450647,"CCN1/CCN2/RACK1/HMGB1/MYC/RPS3/NR4A1/TP63",8
"GO:0033687","GO:0033687","osteoblast proliferation","4/105","32/18723",2.97585920083149e-05,0.00391763111262405,0.00343836115712171,"CCN1/HPSE/SFRP1/JUNB",4
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","10/105","367/18723",4.09579587866013e-05,0.00509243954246743,0.00446944743250281,"RPL5/RPS5/TPM1/CIRBP/RPL23A/RPLP0/RPS3/RPL6/RPS14/RPL24",10
"GO:0042129","GO:0042129","regulation of T cell proliferation","7/105","171/18723",5.03167805690323e-05,0.00592678710071022,0.00520172368652711,"PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",7
"GO:2000116","GO:2000116","regulation of cysteine-type endopeptidase activity","8/105","235/18723",5.35411898943886e-05,0.00599125914918209,0.00525830843910153,"CCN1/CCN2/RACK1/HMGB1/MYC/RPS3/NR4A1/TP63",8
"GO:0010950","GO:0010950","positive regulation of endopeptidase activity","7/105","179/18723",6.7187184894269e-05,0.00716023427587496,0.00628427503823088,"CCN1/CCN2/RACK1/HMGB1/MYC/RPS3/PSME1",7
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","8/105","245/18723",7.17220763224079e-05,0.00729609121861586,0.00640351169462264,"PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1/IL33",8
"GO:2001235","GO:2001235","positive regulation of apoptotic signaling pathway","6/105","126/18723",7.69877649398215e-05,0.00749124425805741,0.00657479036053578,"EIF5A/RACK1/RPS3/SFRP1/TIMP3/TP63",6
"GO:0043280","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","6/105","129/18723",8.77189729022855e-05,0.00817979422313812,0.00717910541384495,"CCN1/CCN2/RACK1/HMGB1/MYC/RPS3",6
"GO:0046006","GO:0046006","regulation of activated T cell proliferation","4/105","44/18723",0.000106683495871085,0.00955030655037949,0.00838195382296606,"PRNP/HMGB1/RPS3/IGFBP2",4
"GO:0010952","GO:0010952","positive regulation of peptidase activity","7/105","197/18723",0.000122365004437789,0.010513875683313,0.00922764311418182,"CCN1/CCN2/RACK1/HMGB1/MYC/RPS3/PSME1",7
"GO:0042098","GO:0042098","T cell proliferation","7/105","199/18723",0.000130279847568364,0.010513875683313,0.00922764311418182,"PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",7
"GO:0035743","GO:0035743","CD4-positive, alpha-beta T cell cytokine production","3/105","18/18723",0.000131540893267544,0.010513875683313,0.00922764311418182,"RSAD2/CD81/IL1R1",3
"GO:0050798","GO:0050798","activated T cell proliferation","4/105","47/18723",0.000138375849563153,0.0106787983214599,0.00937238966551155,"PRNP/HMGB1/RPS3/IGFBP2",4
"GO:2000269","GO:2000269","regulation of fibroblast apoptotic process","3/105","19/18723",0.000155568704811616,0.0116054253789465,0.0101856562518763,"BTG1/SFRP1/TP63",3
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","7/105","207/18723",0.000166209838527134,0.0119992780201202,0.0105313262713627,"EGR3/HMGB1/MYC/SFRP1/NME2/NR4A1/TP63",7
"GO:2001056","GO:2001056","positive regulation of cysteine-type endopeptidase activity","6/105","148/18723",0.000186450621433984,0.0130398903365392,0.011444633539336,"CCN1/CCN2/RACK1/HMGB1/MYC/RPS3",6
"GO:0044342","GO:0044342","type B pancreatic cell proliferation","3/105","21/18723",0.000211790765990092,0.014363264675328,0.0126061106646734,"SERPINB1/SFRP1/NR4A1",3
"GO:0048026","GO:0048026","positive regulation of mRNA splicing, via spliceosome","3/105","22/18723",0.000244233476970305,0.0160763094546924,0.0141095872454052,"RBM3/NCL/CIRBP",3
"GO:0042102","GO:0042102","positive regulation of T cell proliferation","5/105","101/18723",0.000260522619657162,0.0166585606512208,0.0146206077678275,"HMGB1/CD81/TFRC/RPS3/IGFBP2",5
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","7/105","225/18723",0.000276753498690993,0.0172048425019568,0.0151000593145437,"PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",7
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","7/105","227/18723",0.000292012646595538,0.017269190834048,0.0151565354857879,"PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",7
"GO:0030099","GO:0030099","myeloid cell differentiation","9/105","381/18723",0.000293221292088394,0.017269190834048,0.0151565354857879,"HMGB1/CD81/MYC/TFRC/SFRP1/PABPC4/JUNB/NME2/RPS14",9
"GO:0002726","GO:0002726","positive regulation of T cell cytokine production","3/105","24/18723",0.000318386339771545,0.0182704776515056,0.0160353282054981,"RSAD2/CD81/IL1R1",3
"GO:0006937","GO:0006937","regulation of muscle contraction","6/105","169/18723",0.0003809129004155,0.0213120767782472,0.0187048282151401,"ATP1B1/CCN2/TPM1/DSP/NR4A1/NPNT",6
"GO:0042110","GO:0042110","T cell activation","10/105","487/18723",0.000410134494380795,0.022387341424981,0.0196485485626332,"EGR1/EGR3/PRNP/RSAD2/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",10
"GO:0070661","GO:0070661","leukocyte proliferation","8/105","318/18723",0.000424287973629824,0.0226052698304547,0.0198398163320768,"PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1/IL33",8
"GO:0032781","GO:0032781","positive regulation of ATPase activity","3/105","27/18723",0.000454529554231663,0.0226052698304547,0.0198398163320768,"ATP1B1/TPM1/DNAJB1",3
"GO:0033688","GO:0033688","regulation of osteoblast proliferation","3/105","27/18723",0.000454529554231663,0.0226052698304547,0.0198398163320768,"CCN1/HPSE/SFRP1",3
"GO:0042104","GO:0042104","positive regulation of activated T cell proliferation","3/105","27/18723",0.000454529554231663,0.0226052698304547,0.0198398163320768,"HMGB1/RPS3/IGFBP2",3
"GO:0050863","GO:0050863","regulation of T cell activation","8/105","329/18723",0.000531108130761899,0.0254182933508054,0.0223087039144927,"EGR3/PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",8
"GO:0006413","GO:0006413","translational initiation","5/105","118/18723",0.000533806875553108,0.0254182933508054,0.0223087039144927,"RPL13A/EIF2S2/RPS5/EIF3K/RPS3",5
"GO:0071774","GO:0071774","response to fibroblast growth factor","5/105","120/18723",0.000576333449779692,0.0268715470959782,0.0235841714317742,"CCN2/EGR3/SFRP1/NR4A1/SCGB1A1",5
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","8/105","336/18723",0.000609764689173818,0.0278500688647144,0.0244429841030794,"EGR3/PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",8
"GO:0035767","GO:0035767","endothelial cell chemotaxis","3/105","32/18723",0.000755231883352454,0.0325048310169263,0.0285282981410021,"EGR3/HMGB1/NR4A1",3
"GO:0050685","GO:0050685","positive regulation of mRNA processing","3/105","32/18723",0.000755231883352454,0.0325048310169263,0.0285282981410021,"RBM3/NCL/CIRBP",3
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","4/105","73/18723",0.000755250765362005,0.0325048310169263,0.0285282981410021,"RPS5/RPS14/RPS8/RPS25",4
"GO:0034249","GO:0034249","negative regulation of cellular amide metabolic process","7/105","273/18723",0.000875572582786279,0.0367752431696843,0.0322762822795875,"RPL13A/BTG2/PRNP/NCL/RACK1/CIRBP/RPS3",7
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","8/105","356/18723",0.000887712168445632,0.0367752431696843,0.0322762822795875,"P4HB/EIF5A/RACK1/RPS3/SFRP1/MUC1/TIMP3/TP63",8
"GO:0002183","GO:0002183","cytoplasmic translational initiation","3/105","34/18723",0.000903770497914493,0.0367752431696843,0.0322762822795875,"RPL13A/EIF2S2/EIF3K",3
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","5/105","137/18723",0.00104808373494842,0.0417571707319913,0.0366487373998851,"HMGB1/CD81/TFRC/RPS3/IGFBP2",5
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","5/105","138/18723",0.00108270240767781,0.0417571707319913,0.0366487373998851,"HMGB1/CD81/TFRC/RPS3/IGFBP2",5
"GO:0002573","GO:0002573","myeloid leukocyte differentiation","6/105","208/18723",0.00113007054694779,0.0417571707319913,0.0366487373998851,"CD81/MYC/TFRC/SFRP1/JUNB/NME2",6
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","8/105","371/18723",0.0011566487487408,0.0417571707319913,0.0366487373998851,"EGR3/PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",8
"GO:0002369","GO:0002369","T cell cytokine production","3/105","37/18723",0.00115929164946379,0.0417571707319913,0.0366487373998851,"RSAD2/CD81/IL1R1",3
"GO:0002724","GO:0002724","regulation of T cell cytokine production","3/105","37/18723",0.00115929164946379,0.0417571707319913,0.0366487373998851,"RSAD2/CD81/IL1R1",3
"GO:0033120","GO:0033120","positive regulation of RNA splicing","3/105","37/18723",0.00115929164946379,0.0417571707319913,0.0366487373998851,"RBM3/NCL/CIRBP",3
"GO:0046651","GO:0046651","lymphocyte proliferation","7/105","288/18723",0.00119412820681298,0.0417571707319913,0.0366487373998851,"PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",7
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","7/105","288/18723",0.00119412820681298,0.0417571707319913,0.0366487373998851,"RBM3/BTG2/NCL/HNRNPA1/CIRBP/PABPC4/SCGB1A1",7
"GO:0032943","GO:0032943","mononuclear cell proliferation","7/105","291/18723",0.0012675498400365,0.0432150319392387,0.0379282487176612,"PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",7
"GO:0002709","GO:0002709","regulation of T cell mediated immunity","4/105","85/18723",0.00133465062972348,0.0432150319392387,0.0379282487176612,"RSAD2/HMGB1/CD81/IL1R1",4
"GO:0032070","GO:0032070","regulation of deoxyribonuclease activity","2/105","10/18723",0.00136131716394991,0.0432150319392387,0.0379282487176612,"HMGB1/RPS3",2
"GO:0060525","GO:0060525","prostate glandular acinus development","2/105","10/18723",0.00136131716394991,0.0432150319392387,0.0379282487176612,"SFRP1/TP63",2
"GO:0072203","GO:0072203","cell proliferation involved in metanephros development","2/105","10/18723",0.00136131716394991,0.0432150319392387,0.0379282487176612,"EGR1/MYC",2
"GO:2000425","GO:2000425","regulation of apoptotic cell clearance","2/105","10/18723",0.00136131716394991,0.0432150319392387,0.0379282487176612,"HMGB1/TGM2",2
"GO:0050870","GO:0050870","positive regulation of T cell activation","6/105","216/18723",0.00137098626795619,0.0432150319392387,0.0379282487176612,"EGR3/HMGB1/CD81/TFRC/RPS3/IGFBP2",6
"GO:0050856","GO:0050856","regulation of T cell receptor signaling pathway","3/105","41/18723",0.0015648584461451,0.0471920245375197,0.0414187092737932,"PRNP/CD81/RPS3",3
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","5/105","150/18723",0.00156741871313919,0.0471920245375197,0.0414187092737932,"HMGB1/CD81/TFRC/RPS3/IGFBP2",5
"GO:0001731","GO:0001731","formation of translation preinitiation complex","2/105","11/18723",0.00165774991382487,0.0471920245375197,0.0414187092737932,"RPL13A/EIF2S2",2
"GO:0033690","GO:0033690","positive regulation of osteoblast proliferation","2/105","11/18723",0.00165774991382487,0.0471920245375197,0.0414187092737932,"CCN1/HPSE",2
"GO:0034163","GO:0034163","regulation of toll-like receptor 9 signaling pathway","2/105","11/18723",0.00165774991382487,0.0471920245375197,0.0414187092737932,"RSAD2/HMGB1",2
"GO:0090084","GO:0090084","negative regulation of inclusion body assembly","2/105","11/18723",0.00165774991382487,0.0471920245375197,0.0414187092737932,"DNAJB1/DNAJA4",2
"GO:0032689","GO:0032689","negative regulation of interferon-gamma production","3/105","42/18723",0.00167840730244908,0.0471920245375197,0.0414187092737932,"PRNP/HMGB1/SCGB1A1",3
"GO:0035019","GO:0035019","somatic stem cell population maintenance","3/105","42/18723",0.00167840730244908,0.0471920245375197,0.0414187092737932,"MYC/SFRP1/TP63",3
"GO:0006364","GO:0006364","rRNA processing","6/105","225/18723",0.00168693564030455,0.0471920245375197,0.0414187092737932,"RPL5/RPL35/RPS14/RPS8/RPL14/RPS25",6
"GO:0001657","GO:0001657","ureteric bud development","4/105","91/18723",0.00171711168211683,0.0474431598095984,0.0416391214922678,"MYC/SFRP1/CRLF1/NPNT",4
"GO:0072163","GO:0072163","mesonephric epithelium development","4/105","92/18723",0.00178751131738864,0.0481981967266962,0.042301789705101,"MYC/SFRP1/CRLF1/NPNT",4
"GO:0072164","GO:0072164","mesonephric tubule development","4/105","92/18723",0.00178751131738864,0.0481981967266962,0.042301789705101,"MYC/SFRP1/CRLF1/NPNT",4
"GO:0001649","GO:0001649","osteoblast differentiation","6/105","229/18723",0.00184391613796279,0.0491271942471516,0.0431171367598819,"CCN1/ATP5F1B/SFRP1/JUNB/NPNT/TP63",6
"GO:0030316","GO:0030316","osteoclast differentiation","4/105","94/18723",0.00193427475623959,0.0509283165231083,0.044697915729326,"CD81/TFRC/SFRP1/JUNB",4
"GO:0006068","GO:0006068","ethanol catabolic process","2/105","12/18723",0.00198203105676339,0.0515789012213542,0.0452689100602262,"SULT1E1/ALDH2",2
"GO:0006942","GO:0006942","regulation of striated muscle contraction","4/105","95/18723",0.00201069571984498,0.0517234140346329,0.0453957436567542,"ATP1B1/CCN2/DSP/NR4A1",4
"GO:0035272","GO:0035272","exocrine system development","3/105","45/18723",0.00204952546568171,0.0521231590022235,0.0457465851550487,"WLS/TGM2/TFCP2L1",3
"GO:0001823","GO:0001823","mesonephros development","4/105","96/18723",0.00208918080967476,0.0525346814837317,0.0461077633453946,"MYC/SFRP1/CRLF1/NPNT",4
"GO:0016072","GO:0016072","rRNA metabolic process","6/105","236/18723",0.00214502374780202,0.0527590398108303,0.0463046744212452,"RPL5/RPL35/RPS14/RPS8/RPL14/RPS25",6
"GO:0043462","GO:0043462","regulation of ATPase activity","3/105","46/18723",0.00218364504968552,0.0527590398108303,0.0463046744212452,"ATP1B1/TPM1/DNAJB1",3
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","6/105","239/18723",0.00228487320197721,0.0527590398108303,0.0463046744212452,"EGR3/HMGB1/CD81/TFRC/RPS3/IGFBP2",6
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","5/105","164/18723",0.00231591266630656,0.0527590398108303,0.0463046744212452,"P4HB/EIF5A/RACK1/RPS3/MUC1",5
"GO:0043618","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","3/105","47/18723",0.00232309522242114,0.0527590398108303,0.0463046744212452,"EGR1/MUC1/DNAJB1",3
"GO:0008544","GO:0008544","epidermis development","7/105","324/18723",0.00233183293580546,0.0527590398108303,0.0463046744212452,"CCN2/HPSE/KRT5/DSP/NME2/TP63/KRT15",7
"GO:0035745","GO:0035745","T-helper 2 cell cytokine production","2/105","13/18723",0.00233384492460778,0.0527590398108303,0.0463046744212452,"RSAD2/CD81",2
"GO:0061469","GO:0061469","regulation of type B pancreatic cell proliferation","2/105","13/18723",0.00233384492460778,0.0527590398108303,0.0463046744212452,"SFRP1/NR4A1",2
"GO:1902043","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","2/105","13/18723",0.00233384492460778,0.0527590398108303,0.0463046744212452,"SFRP1/TIMP3",2
"GO:2000551","GO:2000551","regulation of T-helper 2 cell cytokine production","2/105","13/18723",0.00233384492460778,0.0527590398108303,0.0463046744212452,"RSAD2/CD81",2
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","4/105","101/18723",0.00251355721009427,0.0547634957308888,0.0480639118733072,"RBM3/NCL/HNRNPA1/CIRBP",4
"GO:0050867","GO:0050867","positive regulation of cell activation","8/105","420/18723",0.00251556363365949,0.0547634957308888,0.0480639118733072,"CCN2/EGR3/HMGB1/CD81/TFRC/RPS3/IGFBP2/IL33",8
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","5/105","168/18723",0.0025707344504016,0.0547634957308888,0.0480639118733072,"RSAD2/HMGB1/CD81/TFRC/IL1R1",5
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","5/105","168/18723",0.0025707344504016,0.0547634957308888,0.0480639118733072,"RSAD2/HMGB1/CD81/TFRC/IL1R1",5
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","7/105","330/18723",0.00258332974606614,0.0547634957308888,0.0480639118733072,"CCN1/CCN2/HMGB1/MYC/DUSP6/TIMP3/NPNT",7
"GO:0017148","GO:0017148","negative regulation of translation","6/105","245/18723",0.00258510591644942,0.0547634957308888,0.0480639118733072,"RPL13A/BTG2/NCL/RACK1/CIRBP/RPS3",6
"GO:1902106","GO:1902106","negative regulation of leukocyte differentiation","4/105","102/18723",0.00260501903963863,0.0547634957308888,0.0480639118733072,"HMGB1/MYC/SFRP1/NME2",4
"GO:0002762","GO:0002762","negative regulation of myeloid leukocyte differentiation","3/105","49/18723",0.00261827258409522,0.0547634957308888,0.0480639118733072,"MYC/SFRP1/NME2",3
"GO:1901722","GO:1901722","regulation of cell proliferation involved in kidney development","2/105","14/18723",0.00271287845528097,0.0562168702122113,0.0493394853562797,"EGR1/MYC",2
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","8/105","428/18723",0.00282388086176914,0.0579802327398104,0.0508871239793454,"RPL13A/WARS1/RACK1/HMGB1/TFRC/RPS3/TMSB10/LMO4",8
"GO:0001655","GO:0001655","urogenital system development","7/105","338/18723",0.00295059431009171,0.0591518795531843,0.0519154354198965,"EGR1/MPST/MYC/SFRP1/CRLF1/NPNT/TP63",7
"GO:0090257","GO:0090257","regulation of muscle system process","6/105","252/18723",0.00297184204617432,0.0591518795531843,0.0519154354198965,"ATP1B1/CCN2/TPM1/DSP/NR4A1/NPNT",6
"GO:1903707","GO:1903707","negative regulation of hemopoiesis","4/105","106/18723",0.00299374614308242,0.0591518795531843,0.0519154354198965,"HMGB1/MYC/SFRP1/NME2",4
"GO:0002824","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","4/105","107/18723",0.00309678486398146,0.0591518795531843,0.0519154354198965,"RSAD2/CD81/TFRC/IL1R1",4
"GO:0051496","GO:0051496","positive regulation of stress fiber assembly","3/105","52/18723",0.00310275718480241,0.0591518795531843,0.0519154354198965,"CCN2/TPM1/SFRP1",3
"GO:0034310","GO:0034310","primary alcohol catabolic process","2/105","15/18723",0.00311882117393912,0.0591518795531843,0.0519154354198965,"SULT1E1/ALDH2",2
"GO:0044406","GO:0044406","adhesion of symbiont to host","2/105","15/18723",0.00311882117393912,0.0591518795531843,0.0519154354198965,"BPIFA1/CD81",2
"GO:0098760","GO:0098760","response to interleukin-7","2/105","15/18723",0.00311882117393912,0.0591518795531843,0.0519154354198965,"P4HB/HMGB1",2
"GO:0098761","GO:0098761","cellular response to interleukin-7","2/105","15/18723",0.00311882117393912,0.0591518795531843,0.0519154354198965,"P4HB/HMGB1",2
"GO:0048732","GO:0048732","gland development","8/105","436/18723",0.00316102569929975,0.0594485337397719,0.0521757979203303,"WLS/MPST/TGM2/RPL19/SFRP1/TFCP2L1/LMO4/TP63",8
"GO:0050673","GO:0050673","epithelial cell proliferation","8/105","437/18723",0.0032052844488308,0.0597785549706943,0.0524654454519146,"EGR3/SERPINB1/HMGB1/MYC/SFRP1/NME2/NR4A1/TP63",8
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","3/105","53/18723",0.0032756391818493,0.0605857891651135,0.0531739253008334,"EGR1/MUC1/DNAJB1",3
"GO:0002456","GO:0002456","T cell mediated immunity","4/105","109/18723",0.00331008057581873,0.0607209863006746,0.0532925828686604,"RSAD2/HMGB1/CD81/IL1R1",4
"GO:0006941","GO:0006941","striated muscle contraction","5/105","179/18723",0.00337610163024967,0.0613930775560094,0.0538824527160122,"ATP1B1/CCN2/TPM1/DSP/NR4A1",5
"GO:0001732","GO:0001732","formation of cytoplasmic translation initiation complex","2/105","16/18723",0.00355136517425037,0.0613930775560094,0.0538824527160122,"EIF2S2/EIF3K",2
"GO:0002830","GO:0002830","positive regulation of type 2 immune response","2/105","16/18723",0.00355136517425037,0.0613930775560094,0.0538824527160122,"RSAD2/CD81",2
"GO:0050862","GO:0050862","positive regulation of T cell receptor signaling pathway","2/105","16/18723",0.00355136517425037,0.0613930775560094,0.0538824527160122,"CD81/RPS3",2
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","5/105","182/18723",0.00362407667545947,0.0613930775560094,0.0538824527160122,"TGM2/MYC/SFRP1/NPNT/TP63",5
"GO:0006979","GO:0006979","response to oxidative stress","8/105","446/18723",0.00362572680113314,0.0613930775560094,0.0538824527160122,"P4HB/PRNP/RACK1/TPM1/BTG1/RPS3/NME2/SCGB1A1",8
"GO:0006414","GO:0006414","translational elongation","3/105","55/18723",0.00363885798131614,0.0613930775560094,0.0538824527160122,"EIF5A/RACK1/EEF1B2",3
"GO:0046164","GO:0046164","alcohol catabolic process","3/105","55/18723",0.00363885798131614,0.0613930775560094,0.0538824527160122,"SULT1E1/TPI1/ALDH2",3
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","4/105","112/18723",0.00364847154376642,0.0613930775560094,0.0538824527160122,"RSAD2/CD81/TFRC/IL1R1",4
"GO:0032609","GO:0032609","interferon-gamma production","4/105","112/18723",0.00364847154376642,0.0613930775560094,0.0538824527160122,"PRNP/HMGB1/IL1R1/SCGB1A1",4
"GO:0032649","GO:0032649","regulation of interferon-gamma production","4/105","112/18723",0.00364847154376642,0.0613930775560094,0.0538824527160122,"PRNP/HMGB1/IL1R1/SCGB1A1",4
"GO:0002819","GO:0002819","regulation of adaptive immune response","5/105","183/18723",0.003709568097991,0.0615252978998907,0.0539984976629491,"RSAD2/HMGB1/CD81/TFRC/IL1R1",5
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","8/105","448/18723",0.00372472209541189,0.0615252978998907,0.0539984976629491,"EGR3/PRNP/HMGB1/CD81/TFRC/RPS3/IGFBP2/SCGB1A1",8
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity","4/105","113/18723",0.00376629392863495,0.0615252978998907,0.0539984976629491,"RSAD2/CD81/TFRC/IL1R1",4
"GO:0044344","GO:0044344","cellular response to fibroblast growth factor stimulus","4/105","113/18723",0.00376629392863495,0.0615252978998907,0.0539984976629491,"CCN2/EGR3/SFRP1/NR4A1",4
"GO:0002711","GO:0002711","positive regulation of T cell mediated immunity","3/105","56/18723",0.00382931401921266,0.0621014838767966,0.0545041949645371,"RSAD2/CD81/IL1R1",3
"GO:0090083","GO:0090083","regulation of inclusion body assembly","2/105","17/18723",0.00401020509979926,0.0645671871464083,0.056668252300079,"DNAJB1/DNAJA4",2
"GO:2001244","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","3/105","58/18723",0.00422820599779088,0.0675908930218285,0.0593220480592315,"EIF5A/RACK1/RPS3",3
"GO:0002702","GO:0002702","positive regulation of production of molecular mediator of immune response","4/105","117/18723",0.00426340735225251,0.0676702528676676,0.0593916992855781,"RSAD2/CD81/TFRC/IL1R1",4
"GO:0031589","GO:0031589","cell-substrate adhesion","7/105","363/18723",0.0043605304065302,0.0687244158437647,0.0603168994706105,"CCN1/CCN2/HPSE/P4HB/BCAM/SFRP1/NPNT",7
"GO:1903313","GO:1903313","positive regulation of mRNA metabolic process","4/105","118/18723",0.00439427052687354,0.0687718702037971,0.0603585484221276,"RBM3/BTG2/NCL/CIRBP",4
